t,joint_name,side,angle_deg
1760966163.055,elbow_left,-,161.69638597509393
1760966163.055,elbow_right,-,171.89603205859518
1760966163.055,hip_right,-,173.0135991665401
1760966163.087,elbow_left,-,163.9513292674202
1760966163.087,elbow_right,-,173.1598015868623
1760966163.087,hip_right,-,173.04782405028786
1760966163.120,elbow_left,-,159.89789225999536
1760966163.120,elbow_right,-,173.38989180521102
1760966163.120,hip_right,-,174.8038574155102
1760966163.151,elbow_left,-,165.05755554100466
1760966163.151,elbow_right,-,174.07649082160114
1760966163.151,hip_right,-,175.06870445005026
1760966163.183,elbow_left,-,163.66629623930737
1760966163.183,elbow_right,-,174.21903869231735
1760966163.183,hip_right,-,174.77625246704736
1760966163.216,elbow_left,-,160.99899957706535
1760966163.216,elbow_right,-,175.19469966962802
1760966163.247,elbow_left,-,164.06417938397416
1760966163.247,elbow_right,-,174.98557650137778
1760966163.279,elbow_left,-,167.15736582122383
1760966163.279,elbow_right,-,176.5977427163608
1760966163.279,hip_left,-,173.91401315324313
1760966163.279,hip_right,-,173.80938412051864
1760966163.312,elbow_left,-,170.28932384752838
1760966163.312,elbow_right,-,176.84030342061098
1760966163.312,hip_left,-,173.9976920316869
1760966163.312,hip_right,-,176.3646576178218
1760966163.343,elbow_left,-,170.03245524525997
1760966163.343,hip_left,-,173.80352808092812
1760966163.343,hip_right,-,178.32613931929373
1760966163.376,elbow_left,-,169.27664438189947
1760966163.376,elbow_right,-,178.48199121420555
1760966163.376,hip_left,-,173.7289267990811
1760966163.423,elbow_left,-,164.77447606512493
1760966163.423,elbow_right,-,179.79064326571418
1760966163.423,hip_left,-,173.99919452915995
1760966163.455,elbow_left,-,165.7237559385825
1760966163.455,elbow_right,-,177.83969837993186
1760966163.455,hip_left,-,174.3901374926391
1760966163.455,hip_right,-,176.96565079999817
1760966163.487,elbow_left,-,165.22392530759737
1760966163.487,elbow_right,-,175.75051793029124
1760966163.487,hip_left,-,174.70561015853585
1760966163.520,elbow_left,-,167.76892082540473
1760966163.520,elbow_right,-,173.95671382226266
1760966163.520,hip_left,-,173.05832770296416
1760966163.520,hip_right,-,175.50307222156366
1760966163.551,elbow_left,-,165.1647087976795
1760966163.551,elbow_right,-,171.9914090721939
1760966163.551,hip_left,-,173.216812638595
1760966163.551,hip_right,-,175.09359735020402
1760966163.583,elbow_left,-,163.59690667591386
1760966163.583,elbow_right,-,171.55459101525932
1760966163.583,hip_left,-,173.25901301079327
1760966163.617,elbow_left,-,162.4736338491499
1760966163.617,elbow_right,-,170.52945677630495
1760966163.617,hip_left,-,172.46651652163777
1760966163.617,hip_right,-,171.73109873035236
1760966163.648,elbow_left,-,161.2087009928051
1760966163.648,elbow_right,-,169.0853552329938
1760966163.648,hip_left,-,172.61998534671056
