t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
8.204,0.000,,,,,
8.219,0.000,,,,,
8.250,0.000,,,,,
8.297,0.000,,,,,
8.329,0.000,,,,,
8.344,0.000,,,,,
8.375,0.000,,,,,
8.407,0.000,,,,,
8.438,0.000,,,,,
8.454,0.000,,,,,
8.500,0.000,,,,,
8.532,0.000,,,,,
8.594,0.000,,,,,
8.625,0.000,,,,,
8.657,0.000,,,,,
8.688,0.000,,,,,
8.719,0.000,,,,,
8.750,0.000,,,,,
8.766,0.000,,,,,
8.813,0.000,,,,,
8.829,0.000,,,,,
8.860,0.000,,,,,
8.907,0.000,,,,,
8.922,0.000,,,,,
9.000,0.000,,,,,
9.032,0.000,,,,,
9.047,0.000,,,,,
9.094,0.000,,,,,
9.125,0.000,,,,,
9.157,0.000,,,,,
9.172,0.000,,,,,
9.204,0.000,,,,,
9.235,0.000,,,,,
9.250,0.000,,,,,
9.297,0.000,,,,,
9.329,0.000,,,,,
9.407,0.000,,,,,
9.422,0.000,,,,,
9.454,0.000,,,,,
9.500,0.000,,,,,
9.516,0.000,,,,,
9.547,0.000,,,,,
9.579,0.000,,,,,
9.610,0.000,,,,,
9.625,0.000,,,,,
9.657,0.000,,,,,
9.704,0.000,,,,,
9.719,0.000,,,,,
9.797,0.000,,,,,
9.829,0.000,,,,,
9.860,0.000,,,,,
9.891,0.000,,,,,
9.922,0.000,,,,,
9.954,0.000,,,,,
9.969,0.000,,,,,
10.000,0.000,,,,,
10.032,0.000,,,,,
10.063,0.000,,,,,
10.110,0.000,,,,,
10.125,0.000,,,,,
10.204,0.000,,,,,
10.235,0.000,,,,,
10.266,0.000,,,,,
10.297,0.000,,,,,
10.313,0.000,,,,,
10.344,0.000,,,,,
10.375,0.000,,,,,
10.407,0.000,,,,,
10.438,0.000,,,,,
10.454,0.000,,,,,
10.500,0.000,,,,,
10.532,0.000,,,,,
10.594,0.000,,,,,
10.625,0.000,,,,,
10.657,0.000,,,,,
10.719,0.000,,,,,
10.735,0.000,,,,,
10.766,0.000,,,,,
10.797,0.000,,,,,
10.813,0.000,,,,,
10.844,0.000,,,,,
10.860,0.000,,,,,
10.907,0.000,,,,,
10.922,0.000,,,,,
11.000,0.000,,,,,
11.016,0.000,,,,,
11.047,0.000,,,,,
11.079,0.000,,,,,
11.110,0.000,,,,,
11.141,0.000,,,,,
11.172,0.000,,,,,
11.204,0.000,,,,,
11.235,0.000,,,,,
11.250,0.000,,,,,
11.297,0.000,,,,,
11.329,0.000,,,,,
11.391,0.000,,,,,
11.422,0.000,,,,,
11.454,0.000,,,,,
11.469,0.000,,,,,
11.516,0.000,,,,,
11.532,0.000,,,,,
11.563,0.000,,,,,
11.610,0.000,,,,,
11.641,0.000,,,,,
11.657,0.000,,,,,
11.704,0.000,,,,,
11.735,0.000,,,,,
11.797,0.000,,,,,
11.829,0.000,,,,,
11.844,0.000,,,,,
11.875,0.000,,,,,
11.907,0.000,,,,,
11.938,0.000,,,,,
11.969,0.000,,,,,
12.000,0.000,,,,,
12.032,0.000,,,,,
12.063,0.000,,,,,
12.110,0.000,,,,,
12.125,0.000,,,,,
12.204,0.000,,,,,
12.219,0.000,,,,,
12.250,0.000,,,,,
12.282,0.000,,,,,
12.313,0.000,,,,,
12.329,0.000,,,,,
12.360,0.000,,,,,
12.407,0.000,,,,,
12.438,0.000,,,,,
12.469,0.000,,,,,
12.500,0.000,,,,,
12.532,0.000,,,,,
12.594,0.000,,,,,
12.625,0.000,,,,,
12.657,0.000,,,,,
12.672,0.000,,,,,
12.704,0.000,,,,,
12.735,0.000,,,,,
12.766,0.000,,,,,
12.813,0.000,,,,,
12.829,0.000,,,,,
12.860,0.000,,,,,
12.907,0.000,,,,,
12.922,0.000,,,,,
13.000,0.000,,,,,
13.110,0.000,,,,,
13.141,0.000,,,,,
13.172,0.000,,,,,
13.204,0.000,,,,,
13.235,0.000,,,,,
13.250,0.000,,,,,
13.297,0.000,,,,,
13.329,0.000,,,,,
13.422,0.000,,,,,
13.516,0.000,,,,,
13.532,0.000,,,,,
13.563,0.000,,,,,
13.610,0.000,,,,,
13.641,0.000,,,,,
13.657,0.000,,,,,
13.704,0.000,,,,,
13.735,0.000,,,,,
13.766,0.000,,,,,
13.813,0.000,,,,,
13.844,0.000,,,,,
13.875,0.000,,,,,
