t,joint_name,side,angle_deg
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.204000000027008,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.204000000027008,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.204000000027008,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.204000000027008,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.219000000040978,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.219000000040978,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.219000000040978,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.219000000040978,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.25,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.25,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.25,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.25,8.329588026686356,8.329588026686356,13.444681276958677,13.444681276958677
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.297000000020489,8.587621530911346,8.587621530911346,12.885890006006564,12.885890006006564
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.297000000020489,8.587621530911346,8.587621530911346,12.885890006006564,12.885890006006564
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.297000000020489,8.587621530911346,8.587621530911346,12.885890006006564,12.885890006006564
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.297000000020489,8.587621530911346,8.587621530911346,12.885890006006564,12.885890006006564
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.329000000027008,8.587621530911346,8.587621530911346,12.885890006006564,12.885890006006564
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
8.329000000027008,8.587621530911346,8.587621530911346,12.885890006006564,12.885890006006564
