t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1761044725.586,0.000,,,,,
1761044725.615,0.000,,,,,
1761044725.649,0.000,,,,,
1761044725.680,0.000,,,,,
1761044725.728,0.000,,,,,
1761044725.760,0.000,,,,,
1761044725.793,0.000,,,,,
1761044725.826,0.000,,,,,
1761044725.857,0.000,,,,,
1761044725.889,0.000,,,,,
1761044725.920,0.000,,,,,
1761044725.952,0.000,,,,,
1761044725.984,0.000,,,,,
1761044726.017,0.000,,,,,
1761044726.049,0.000,,,,,
1761044726.096,0.000,,,,,
1761044726.128,0.000,,,,,
1761044726.161,0.000,,,,,
1761044726.192,0.000,,,,,
1761044726.224,0.000,,,,,
1761044726.258,0.000,,,,,
1761044726.288,0.000,,,,,
1761044726.320,0.000,,,,,
1761044726.352,0.000,,,,,
1761044726.384,0.000,,,,,
1761044726.432,0.000,,,,,
1761044726.465,0.000,,,,,
1761044726.496,0.000,,,,,
1761044726.528,0.000,,,,,
1761044726.560,0.000,,,,,
1761044726.592,0.000,,,,,
1761044726.623,0.000,,,,,
1761044726.656,0.000,,,,,
1761044726.689,0.000,,,,,
1761044726.720,0.000,,,,,
1761044726.752,0.000,,,,,
1761044726.800,0.000,,,,,
1761044726.833,0.000,,,,,
1761044726.864,0.000,,,,,
1761044726.896,0.000,,,,,
1761044726.929,0.000,,,,,
1761044726.960,0.000,,,,,
1761044726.993,0.000,,,,,
1761044727.024,0.000,,,,,
1761044727.056,0.000,,,,,
1761044727.088,0.000,,,,,
1761044727.121,0.000,,,,,
1761044727.168,0.000,,,,,
1761044727.201,0.000,,,,,
1761044727.232,0.000,,,,,
1761044727.264,0.000,,,,,
1761044727.296,0.000,,,,,
1761044727.328,0.000,,,,,
1761044727.362,0.000,,,,,
1761044727.393,0.000,,,,,
1761044727.425,0.000,,,,,
1761044727.457,0.000,,,,,
1761044727.488,0.000,,,,,
1761044727.536,0.000,,,,,
1761044727.570,0.000,,,,,
1761044727.600,0.000,,,,,
1761044727.632,0.000,,,,,
1761044727.664,0.000,,,,,
1761044727.696,0.000,,,,,
1761044727.728,0.000,,,,,
1761044727.762,0.000,,,,,
1761044727.793,0.000,,,,,
1761044727.824,0.000,,,,,
1761044727.856,0.000,,,,,
1761044727.905,0.000,,,,,
1761044727.935,0.000,,,,,
1761044727.968,0.000,,,,,
1761044728.001,0.000,,,,,
1761044728.032,0.000,,,,,
1761044728.064,0.000,,,,,
1761044728.095,0.000,,,,,
1761044728.128,0.000,,,,,
1761044728.161,0.000,,,,,
1761044728.194,0.000,,,,,
1761044728.225,0.000,,,,,
1761044728.273,0.000,,,,,
1761044728.304,0.000,,,,,
1761044728.336,0.000,,,,,
1761044728.367,0.000,,,,,
1761044728.400,0.000,,,,,
1761044728.433,0.000,,,,,
1761044728.464,0.000,,,,,
1761044728.496,0.000,,,,,
1761044728.528,0.000,,,,,
1761044728.560,0.000,,,,,
1761044728.608,0.000,,,,,
1761044728.643,0.000,,,,,
1761044728.672,0.000,,,,,
1761044728.704,0.000,,,,,
1761044728.737,0.000,,,,,
1761044728.768,0.000,,,,,
1761044728.800,0.000,,,,,
1761044728.833,0.000,,,,,
1761044728.865,0.000,,,,,
1761044728.896,0.000,,,,,
1761044728.929,0.000,,,,,
1761044728.977,0.000,,,,,
1761044729.009,0.000,,,,,
1761044729.041,0.000,,,,,
1761044729.072,0.000,,,,,
1761044729.105,0.000,,,,,
1761044729.136,0.000,,,,,
1761044729.168,0.000,,,,,
1761044729.200,0.000,,,,,
1761044729.232,0.000,,,,,
1761044729.265,0.000,,,,,
1761044729.298,0.000,,,,,
1761044729.345,0.000,,,,,
1761044729.376,0.000,,,,,
1761044729.408,0.000,,,,,
1761044729.441,0.000,,,,,
1761044729.472,0.000,,,,,
1761044729.504,0.000,,,,,
1761044729.538,0.000,,,,,
1761044729.568,0.000,,,,,
1761044729.601,0.000,,,,,
1761044729.632,0.000,,,,,
1761044729.664,0.000,,,,,
1761044729.713,0.000,,,,,
1761044729.746,0.000,,,,,
1761044729.776,0.000,,,,,
1761044729.808,0.000,,,,,
1761044729.841,0.000,,,,,
1761044729.872,0.000,,,,,
1761044729.904,0.000,,,,,
1761044729.937,0.000,,,,,
1761044729.968,0.000,,,,,
1761044730.000,0.000,,,,,
1761044730.032,0.000,,,,,
1761044730.081,0.000,,,,,
1761044730.112,0.000,,,,,
1761044730.144,0.000,,,,,
1761044730.178,0.000,,,,,
1761044730.209,0.000,,,,,
1761044730.240,0.000,,,,,
1761044730.273,0.000,,,,,
1761044730.304,0.000,,,,,
1761044730.335,0.000,,,,,
1761044730.369,0.000,,,,,
1761044730.417,0.000,,,,,
1761044730.448,0.000,,,,,
1761044730.480,0.000,,,,,
1761044730.512,0.000,,,,,
1761044730.545,0.000,,,,,
1761044730.576,0.000,,,,,
1761044730.610,0.000,,,,,
1761044730.641,0.000,,,,,
1761044730.673,0.000,,,,,
1761044730.704,0.000,,,,,
1761044730.736,0.000,,,,,
1761044730.784,0.000,,,,,
1761044730.817,0.000,,,,,
1761044730.848,0.000,,,,,
1761044730.880,0.000,,,,,
1761044730.912,0.000,,,,,
1761044730.944,0.000,,,,,
1761044730.977,0.000,,,,,
1761044731.010,0.000,,,,,
1761044731.041,0.000,,,,,
1761044731.073,0.000,,,,,
1761044731.104,0.000,,,,,
1761044731.152,0.000,,,,,
1761044731.184,0.000,,,,,
1761044731.216,0.000,,,,,
1761044731.249,0.000,,,,,
1761044731.280,0.000,,,,,
1761044731.312,0.000,,,,,
1761044731.344,0.000,,,,,
1761044731.376,0.000,,,,,
1761044731.408,0.000,,,,,
1761044731.442,0.000,,,,,
1761044731.472,0.000,,,,,
1761044731.521,0.000,,,,,
1761044731.552,0.000,,,,,
1761044731.584,0.000,,,,,
1761044731.617,0.000,,,,,
1761044731.648,0.000,,,,,
1761044731.682,0.000,,,,,
1761044731.712,0.000,,,,,
1761044731.745,0.000,,,,,
1761044731.777,0.000,,,,,
1761044731.808,0.000,,,,,
1761044731.841,0.000,,,,,
1761044731.889,0.000,,,,,
1761044731.920,0.000,,,,,
1761044731.952,0.000,,,,,
1761044731.984,0.000,,,,,
1761044732.016,0.000,,,,,
1761044732.048,0.000,,,,,
1761044732.080,0.000,,,,,
1761044732.113,0.000,,,,,
1761044732.144,0.000,,,,,
1761044732.177,0.000,,,,,
1761044732.224,0.000,,,,,
1761044732.257,0.000,,,,,
1761044732.288,0.000,,,,,
1761044732.320,0.000,,,,,
1761044732.354,0.000,,,,,
1761044732.384,0.000,,,,,
1761044732.416,0.000,,,,,
1761044732.448,0.000,,,,,
1761044732.480,0.000,,,,,
1761044732.512,0.000,,,,,
1761044732.545,0.000,,,,,
1761044732.592,0.000,,,,,
1761044732.624,0.000,,,,,
1761044732.656,0.000,,,,,
1761044732.687,0.000,,,,,
1761044732.719,0.000,,,,,
1761044732.752,0.000,,,,,
1761044732.785,0.000,,,,,
1761044732.816,0.000,,,,,
1761044732.847,0.000,,,,,
1761044732.879,0.000,,,,,
1761044732.912,0.000,,,,,
1761044732.960,0.000,,,,,
1761044732.994,0.000,,,,,
1761044733.024,0.000,,,,,
1761044733.056,0.000,,,,,
1761044733.090,0.000,,,,,
