t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1760966845.067,0.000,,,,,
1760966845.099,0.000,,,,,
1760966845.131,0.000,,,,,
1760966845.163,0.000,,,,,
1760966845.195,0.000,,,,,
1760966845.228,0.000,,,,,
1760966845.259,0.000,,,,,
1760966845.306,0.000,,,,,
1760966845.339,0.000,,,,,
1760966845.370,0.000,,,,,
1760966845.403,0.000,,,,,
1760966845.435,0.000,,,,,
1760966845.468,0.000,,,,,
1760966845.499,0.000,,,,,
1760966845.531,0.000,,,,,
1760966845.563,0.000,,,,,
1760966845.595,0.000,,,,,
1760966845.643,0.000,,,,,
1760966845.676,0.000,,,,,
1760966845.707,0.000,,,,,
1760966845.739,0.000,,,,,
1760966845.771,0.000,,,,,
1760966845.803,0.000,,,,,
1760966845.835,0.000,,,,,
1760966845.867,0.000,,,,,
1760966845.900,0.000,,,,,
1760966845.931,0.000,,,,,
1760966845.963,0.000,,,,,
1760966846.010,0.000,,,,,
1760966846.043,0.000,,,,,
1760966846.075,0.000,,,,,
1760966846.107,0.000,,,,,
1760966846.139,0.000,,,,,
1760966846.171,0.000,,,,,
1760966846.204,0.000,,,,,
1760966846.234,0.000,,,,,
1760966846.267,0.000,,,,,
1760966846.299,0.000,,,,,
1760966846.331,0.000,,,,,
1760966846.380,0.000,,,,,
1760966846.411,0.000,,,,,
1760966846.443,0.000,,,,,
1760966846.475,0.000,,,,,
1760966846.507,0.000,,,,,
1760966846.539,0.000,,,,,
1760966846.573,0.000,,,,,
1760966846.604,0.000,,,,,
1760966846.635,0.000,,,,,
1760966846.668,0.000,,,,,
1760966846.699,0.000,,,,,
1760966846.746,0.000,,,,,
1760966846.779,0.000,,,,,
1760966846.810,0.000,,,,,
1760966846.843,0.000,,,,,
1760966846.875,0.000,,,,,
1760966846.907,0.000,,,,,
1760966846.939,0.000,,,,,
1760966846.972,0.000,,,,,
1760966847.003,0.000,,,,,
1760966847.034,0.000,,,,,
1760966847.067,0.000,,,,,
1760966847.115,0.000,,,,,
1760966847.147,0.000,,,,,
1760966847.179,0.000,,,,,
1760966847.212,0.000,,,,,
1760966847.243,0.000,,,,,
1760966847.275,0.000,,,,,
1760966847.307,0.000,,,,,
1760966847.339,0.000,,,,,
1760966847.370,0.000,,,,,
1760966847.404,0.000,,,,,
1760966847.451,0.000,,,,,
1760966847.483,0.000,,,,,
1760966847.515,0.000,,,,,
1760966847.547,0.000,,,,,
1760966847.579,0.000,,,,,
1760966847.610,0.000,,,,,
1760966847.644,0.000,,,,,
1760966847.675,0.000,,,,,
1760966847.707,0.000,,,,,
1760966847.739,0.000,,,,,
1760966847.771,0.000,,,,,
1760966847.819,0.000,,,,,
1760966847.852,0.000,,,,,
1760966847.883,0.000,,,,,
