t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1760968952.181,0.000,,,,,
1760968952.227,0.000,,,,,
1760968952.260,0.000,,,,,
1760968952.292,0.000,,,,,
1760968952.325,0.000,,,,,
1760968952.356,0.000,,,,,
1760968952.389,0.000,,,,,
1760968952.420,0.000,,,,,
1760968952.452,0.000,,,,,
1760968952.484,0.000,,,,,
1760968952.516,0.000,,,,,
1760968952.549,0.000,,,,,
1760968952.596,0.000,,,,,
1760968952.628,0.000,,,,,
1760968952.660,0.000,,,,,
1760968952.692,0.000,,,,,
1760968952.723,0.000,,,,,
1760968952.756,0.000,,,,,
1760968952.788,0.000,,,,,
1760968952.820,0.000,,,,,
1760968952.852,0.000,,,,,
1760968952.884,0.000,,,,,
1760968952.932,0.000,,,,,
1760968952.965,0.000,,,,,
1760968952.996,0.000,,,,,
1760968953.028,0.000,,,,,
1760968953.060,0.000,,,,,
1760968953.092,0.000,,,,,
1760968953.124,0.000,,,,,
1760968953.156,0.000,,,,,
1760968953.189,0.000,,,,,
1760968953.220,0.000,,,,,
1760968953.252,0.000,,,,,
1760968953.301,0.000,,,,,
1760968953.333,0.000,,,,,
1760968953.364,0.000,,,,,
1760968953.396,0.000,,,,,
1760968953.429,0.000,,,,,
1760968953.459,0.000,,,,,
1760968953.493,0.000,,,,,
1760968953.524,0.000,,,,,
1760968953.557,0.000,,,,,
1760968953.589,0.000,,,,,
1760968953.621,0.000,,,,,
1760968953.668,0.000,,,,,
1760968953.700,0.000,,,,,
1760968953.732,0.000,,,,,
1760968953.764,0.000,,,,,
1760968953.796,0.000,,,,,
1760968953.828,0.000,,,,,
1760968953.861,0.000,,,,,
1760968953.891,0.000,,,,,
1760968953.923,0.000,,,,,
1760968953.956,0.000,,,,,
1760968953.988,0.000,,,,,
1760968954.036,0.000,,,,,
1760968954.068,0.000,,,,,
1760968954.100,0.000,,,,,
1760968954.131,0.000,,,,,
1760968954.164,0.000,,,,,
1760968954.196,0.000,,,,,
1760968954.227,0.000,,,,,
1760968954.260,0.000,,,,,
1760968954.292,0.000,,,,,
1760968954.324,0.000,,,,,
1760968954.356,0.000,,,,,
1760968954.404,0.000,,,,,
