t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1761067178.503,0.000,,,,,
1761067178.567,0.000,,,,,
1761067178.633,0.000,,,,,
1761067178.710,0.000,,,,,
1761067178.775,0.000,,,,,
1761067178.838,0.000,,,,,
1761067178.902,0.000,,,,,
1761067178.966,0.000,,,,,
1761067179.030,0.000,,,,,
1761067179.111,0.000,,,,,
1761067179.174,0.000,,,,,
1761067179.239,0.000,,,,,
1761067179.304,0.000,,,,,
1761067179.367,0.000,,,,,
1761067179.447,0.000,,,,,
1761067179.511,0.000,,,,,
1761067179.576,0.000,,,,,
1761067179.639,0.000,,,,,
1761067179.703,0.000,,,,,
1761067179.768,0.000,,,,,
1761067179.847,0.000,,,,,
1761067179.911,0.000,,,,,
1761067179.975,0.000,,,,,
1761067180.040,0.000,,,,,
1761067180.102,0.000,,,,,
1761067180.167,0.000,,,,,
1761067180.248,0.000,,,,,
1761067180.310,0.000,,,,,
1761067180.374,0.000,,,,,
1761067180.439,0.000,,,,,
1761067180.504,0.000,,,,,
1761067180.583,0.000,,,,,
1761067180.647,0.000,,,,,
1761067180.710,0.000,,,,,
1761067180.777,0.000,,,,,
