t,joint_name,side,angle_deg
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.702999999979511,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.702999999979511,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.76600000000326,5.4979695623168805,5.4979695623168805,16.79593483838563,16.79593483838563
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.827999999979511,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.827999999979511,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.827999999979511,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.827999999979511,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.89100000000326,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.89100000000326,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.89100000000326,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.89100000000326,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.937999999965541,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.937999999965541,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.937999999965541,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
