t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
15.422,0.000,,,,,
15.422,0.000,,,,,
15.485,0.000,,,,,
15.485,0.000,,,,,
15.531,0.000,,,,,
15.610,0.000,,,,,
15.610,0.000,,,,,
15.641,0.000,,,,,
15.641,0.000,,,,,
15.703,0.000,,,,,
15.766,0.000,,,,,
15.766,0.000,,,,,
15.828,0.000,,,,,
15.891,0.000,,,,,
15.938,0.000,,,,,
16.000,0.000,,,,,
16.000,0.000,,,,,
16.063,0.000,,,,,
16.110,0.000,,,,,
16.172,0.000,,,,,
16.219,0.000,,,,,
16.219,0.000,,,,,
16.266,0.000,,,,,
16.313,0.000,,,,,
16.328,0.000,,,,,
16.375,0.000,,,,,
16.438,0.000,,,,,
16.485,0.000,,,,,
16.485,0.000,,,,,
16.531,0.000,,,,,
16.547,0.000,,,,,
16.610,0.000,,,,,
16.656,0.000,,,,,
16.656,0.000,,,,,
16.719,0.000,,,,,
16.719,0.000,,,,,
16.766,0.000,,,,,
16.766,0.000,,,,,
16.813,0.000,,,,,
16.860,0.000,,,,,
16.922,0.000,,,,,
16.969,0.000,,,,,
17.031,0.000,,,,,
17.031,0.000,,,,,
17.078,0.000,,,,,
17.094,0.000,,,,,
17.125,0.000,,,,,
17.188,0.000,,,,,
17.219,0.000,,,,,
17.235,0.000,,,,,
17.266,0.000,,,,,
17.266,0.000,,,,,
17.328,0.000,,,,,
17.375,0.000,,,,,
17.422,0.000,,,,,
17.485,0.000,,,,,
17.531,0.000,,,,,
