t,joint_name,side,angle_deg
t,elbow_left_raw,elbow_left_smoothed
11.797000000020489,65.50400667232392,65.50400667232392
t,elbow_left_raw,elbow_left_smoothed
11.797000000020489,65.50400667232392,65.50400667232392
t,elbow_left_raw,elbow_left_smoothed
11.860000000044238,65.50400667232392,65.50400667232392
t,elbow_left_raw,elbow_left_smoothed
11.860000000044238,65.50400667232392,65.50400667232392
t,elbow_left_raw,elbow_left_smoothed
12.28200000000652,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.28200000000652,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.28200000000652,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.28200000000652,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.360000000044238,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.360000000044238,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.40700000000652,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.40700000000652,67.00889092898338,67.00889092898338
t,elbow_left_raw,elbow_left_smoothed
12.40700000000652,68.23012035054232,68.23012035054232
t,elbow_left_raw,elbow_left_smoothed
12.40700000000652,68.23012035054232,68.23012035054232
t,elbow_left_raw,elbow_left_smoothed
12.454000000027008,68.23012035054232,68.23012035054232
t,elbow_left_raw,elbow_left_smoothed
12.454000000027008,68.23012035054232,68.23012035054232
t,elbow_left_raw,elbow_left_smoothed
12.469000000040978,68.23012035054232,68.23012035054232
t,elbow_left_raw,elbow_left_smoothed
12.469000000040978,68.23012035054232,68.23012035054232
t,elbow_left_raw,elbow_left_smoothed
12.51600000000326,68.57482310278154,68.57482310278154
t,elbow_left_raw,elbow_left_smoothed
12.51600000000326,68.57482310278154,68.57482310278154
t,elbow_left_raw,elbow_left_smoothed
12.53200000000652,68.57482310278154,68.57482310278154
t,elbow_left_raw,elbow_left_smoothed
12.53200000000652,68.57482310278154,68.57482310278154
t,elbow_left_raw,elbow_left_smoothed
12.579000000027008,68.57482310278154,68.57482310278154
t,elbow_left_raw,elbow_left_smoothed
12.579000000027008,68.57482310278154,68.57482310278154
t,elbow_left_raw,elbow_left_smoothed
12.625,74.92047746447959,74.92047746447959
t,elbow_left_raw,elbow_left_smoothed
12.625,74.92047746447959,74.92047746447959
t,elbow_left_raw,elbow_left_smoothed
12.625,74.92047746447959,74.92047746447959
t,elbow_left_raw,elbow_left_smoothed
12.625,74.92047746447959,74.92047746447959
t,elbow_left_raw,elbow_left_smoothed
12.65700000000652,74.22473995439555,74.22473995439555
t,elbow_left_raw,elbow_left_smoothed
12.65700000000652,74.22473995439555,74.22473995439555
t,elbow_left_raw,elbow_left_smoothed
14.297000000020489,64.70210280553366,64.70210280553366
t,elbow_left_raw,elbow_left_smoothed
14.297000000020489,64.70210280553366,64.70210280553366
t,elbow_left_raw,elbow_left_smoothed
14.297000000020489,64.70210280553366,64.70210280553366
t,elbow_left_raw,elbow_left_smoothed
14.297000000020489,64.70210280553366,64.70210280553366
t,elbow_left_raw,elbow_left_smoothed
14.344000000040978,64.70210280553366,64.70210280553366
t,elbow_left_raw,elbow_left_smoothed
14.344000000040978,64.70210280553366,64.70210280553366
