timestamp,activity,set_idx,reps_counted,target_reps,mean_rep_score,form_stability,symmetry_index,final_percent
2025-10-22 00:59:00,squat,1,5,5,0.0000,0.9731,0.0000,29.20
2025-10-22 01:00:08,arm_abduction,1,5,5,0.1000,0.0000,0.0000,7.00
