t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
23.343,0.000,,,,,
23.437,0.000,,,,,
23.500,0.000,,,,,
23.562,0.000,,,,,
23.625,0.000,,,,,
23.687,0.000,,,,,
23.750,0.000,,,,,
23.828,0.000,,,,,
23.890,0.000,,,,,
23.953,0.000,,,,,
24.031,0.000,,,,,
24.093,0.000,,,,,
24.156,0.000,,,,,
24.234,0.000,,,,,
24.296,0.000,,,,,
24.359,0.000,,,,,
24.421,0.000,,,,,
24.484,0.000,,,,,
24.562,0.000,,,,,
24.625,0.000,,,,,
24.703,0.000,,,,,
24.765,0.000,,,,,
24.828,0.000,,,,,
24.890,0.000,,,,,
24.968,0.000,,,,,
25.031,0.000,,,,,
25.093,0.000,,,,,
25.156,0.000,,,,,
25.218,0.000,,,,,
25.281,0.000,,,,,
25.375,0.000,,,,,
25.437,0.000,,,,,
25.500,0.000,,,,,
25.562,0.000,,,,,
25.625,0.000,,,,,
25.703,0.000,,,,,
25.765,0.000,,,,,
25.828,0.000,,,,,
25.890,0.000,,,,,
25.953,0.000,,,,,
26.015,0.000,,,,,
26.109,0.000,,,,,
26.171,0.000,,,,,
26.234,0.000,,,,,
26.296,0.000,,,,,
26.359,0.000,,,,,
26.421,0.000,,,,,
26.500,0.000,,,,,
26.562,0.000,,,,,
26.625,0.000,,,,,
26.703,0.000,,,,,
26.765,0.000,,,,,
26.843,0.000,,,,,
26.906,0.000,,,,,
26.968,0.000,,,,,
27.031,0.000,,,,,
27.093,0.000,,,,,
27.156,0.000,,,,,
27.234,0.000,,,,,
27.296,0.000,,,,,
27.359,0.000,,,,,
27.437,0.000,,,,,
27.500,0.000,,,,,
27.562,0.000,,,,,
27.640,0.000,,,,,
27.703,0.000,,,,,
27.765,0.000,,,,,
27.828,0.000,,,,,
27.890,0.000,,,,,
27.968,0.000,,,,,
28.031,0.000,,,,,
28.109,0.000,,,,,
28.171,0.000,,,,,
28.234,0.000,,,,,
28.296,0.000,,,,,
28.375,0.000,,,,,
28.437,0.000,,,,,
28.500,0.000,,,,,
28.562,0.000,,,,,
28.625,0.000,,,,,
28.703,0.000,,,,,
28.781,0.000,,,,,
28.843,0.000,,,,,
28.906,0.000,,,,,
28.968,0.000,,,,,
29.031,0.000,,,,,
29.093,0.000,,,,,
29.171,0.000,,,,,
29.234,0.000,,,,,
29.296,0.000,,,,,
29.375,0.000,,,,,
29.437,0.000,,,,,
29.515,0.000,,,,,
29.578,0.000,,,,,
29.640,0.000,,,,,
29.703,0.000,,,,,
29.765,0.000,,,,,
29.828,0.000,,,,,
29.906,0.000,,,,,
29.968,0.000,,,,,
30.046,0.000,,,,,
30.109,0.000,,,,,
30.171,0.000,,,,,
30.234,0.000,,,,,
30.312,0.000,,,,,
30.375,0.000,,,,,
30.437,0.000,,,,,
30.500,0.000,,,,,
30.562,0.000,,,,,
30.640,0.000,,,,,
30.718,0.000,,,,,
30.781,0.000,,,,,
30.843,0.000,,,,,
30.906,0.000,,,,,
30.968,0.000,,,,,
31.046,0.000,,,,,
31.109,0.000,,,,,
31.171,0.000,,,,,
31.234,0.000,,,,,
31.296,0.000,,,,,
31.375,0.000,,,,,
31.453,0.000,,,,,
31.515,0.000,,,,,
31.578,0.000,,,,,
31.640,0.000,,,,,
31.703,0.000,,,,,
31.781,0.000,,,,,
31.843,0.000,,,,,
31.906,0.000,,,,,
31.968,0.000,,,,,
32.046,0.000,,,,,
32.109,0.000,,,,,
32.187,0.000,,,,,
32.250,0.000,,,,,
32.312,0.000,,,,,
32.375,0.000,,,,,
32.437,0.000,,,,,
32.500,0.000,,,,,
32.578,0.000,,,,,
32.640,0.000,,,,,
32.703,0.000,,,,,
32.781,0.000,,,,,
32.843,0.000,,,,,
32.921,0.000,,,,,
32.984,0.000,,,,,
33.046,0.000,,,,,
33.109,0.000,,,,,
33.171,0.000,,,,,
33.234,0.000,,,,,
33.328,0.000,,,,,
33.375,0.000,,,,,
33.453,0.000,,,,,
33.515,0.000,,,,,
33.578,0.000,,,,,
33.640,0.000,,,,,
33.718,0.000,,,,,
33.781,0.000,,,,,
33.843,0.000,,,,,
33.906,0.000,,,,,
33.968,0.000,,,,,
34.062,0.000,,,,,
34.125,0.000,,,,,
34.187,0.000,,,,,
34.250,0.000,,,,,
34.312,0.000,,,,,
34.375,0.000,,,,,
34.453,0.000,,,,,
34.515,0.000,,,,,
34.578,0.000,,,,,
34.640,0.000,,,,,
34.718,0.000,,,,,
34.781,0.000,,,,,
34.859,0.000,,,,,
34.921,0.000,,,,,
34.984,0.000,,,,,
35.046,0.000,,,,,
35.109,0.000,,,,,
35.171,0.000,,,,,
35.250,0.000,,,,,
35.312,0.000,,,,,
35.375,0.000,,,,,
35.453,0.000,,,,,
35.515,0.000,,,,,
35.593,0.000,,,,,
35.656,0.000,,,,,
35.718,0.000,,,,,
35.781,0.000,,,,,
35.843,0.000,,,,,
35.906,0.000,,,,,
35.984,0.000,,,,,
36.046,0.000,,,,,
36.125,0.000,,,,,
36.187,0.000,,,,,
36.250,0.000,,,,,
36.312,0.000,,,,,
36.390,0.000,,,,,
36.453,0.000,,,,,
36.515,0.000,,,,,
36.578,0.000,,,,,
36.640,0.000,,,,,
36.734,0.000,,,,,
36.796,0.000,,,,,
36.859,0.000,,,,,
36.921,0.000,,,,,
36.984,0.000,,,,,
37.046,0.000,,,,,
37.125,0.000,,,,,
37.187,0.000,,,,,
37.250,0.000,,,,,
37.312,0.000,,,,,
37.390,0.000,,,,,
37.453,0.000,,,,,
37.531,0.000,,,,,
37.593,0.000,,,,,
37.656,0.000,,,,,
37.718,0.000,,,,,
37.781,0.000,,,,,
37.859,0.000,,,,,
37.921,0.000,,,,,
37.984,0.000,,,,,
38.062,0.000,,,,,
38.125,0.000,,,,,
38.187,0.000,,,,,
38.265,0.000,,,,,
38.328,0.000,,,,,
38.390,0.000,,,,,
38.453,0.000,,,,,
38.515,0.000,,,,,
38.578,0.000,,,,,
38.656,0.000,,,,,
38.734,0.000,,,,,
38.796,0.000,,,,,
38.859,0.000,,,,,
38.921,0.000,,,,,
39.000,0.000,,,,,
39.062,0.000,,,,,
39.125,0.000,,,,,
39.187,0.000,,,,,
39.250,0.000,,,,,
39.312,0.000,,,,,
39.406,0.000,,,,,
39.468,0.000,,,,,
39.531,0.000,,,,,
39.593,0.000,,,,,
39.656,0.000,,,,,
39.718,0.000,,,,,
39.796,0.000,,,,,
39.859,0.000,,,,,
39.921,0.000,,,,,
39.984,0.000,,,,,
40.062,0.000,,,,,
40.140,0.000,,,,,
40.203,0.000,,,,,
40.265,0.000,,,,,
40.328,0.000,,,,,
40.390,0.000,,,,,
40.453,0.000,,,,,
40.531,0.000,,,,,
40.593,0.000,,,,,
40.656,0.000,,,,,
40.734,0.000,,,,,
40.796,0.000,,,,,
40.859,0.000,,,,,
40.937,0.000,,,,,
41.000,0.000,,,,,
41.062,0.000,,,,,
41.125,0.000,,,,,
41.187,0.000,,,,,
41.250,0.000,,,,,
41.328,0.000,,,,,
41.406,0.000,,,,,
41.468,0.000,,,,,
41.531,0.000,,,,,
41.593,0.000,,,,,
41.671,0.000,,,,,
41.734,0.000,,,,,
41.796,0.000,,,,,
41.859,0.000,,,,,
41.921,0.000,,,,,
42.000,0.000,,,,,
42.062,0.000,,,,,
42.140,0.000,,,,,
42.203,0.000,,,,,
42.265,0.000,,,,,
42.328,0.000,,,,,
42.390,0.000,,,,,
42.468,0.000,,,,,
42.531,0.000,,,,,
42.593,0.000,,,,,
42.671,0.000,,,,,
42.734,0.000,,,,,
42.812,0.000,,,,,
42.875,0.000,,,,,
42.937,0.000,,,,,
43.000,0.000,,,,,
43.062,0.000,,,,,
43.125,0.000,,,,,
43.203,0.000,,,,,
43.265,0.000,,,,,
43.328,0.000,,,,,
43.406,0.000,,,,,
43.468,0.000,,,,,
43.531,0.000,,,,,
43.609,0.000,,,,,
43.671,0.000,,,,,
43.734,0.000,,,,,
43.796,0.000,,,,,
43.859,0.000,,,,,
43.937,0.000,,,,,
44.000,0.000,,,,,
44.078,0.000,,,,,
44.140,0.000,,,,,
44.203,0.000,,,,,
44.265,0.000,,,,,
44.343,0.000,,,,,
44.406,0.000,,,,,
44.468,0.000,,,,,
44.531,0.000,,,,,
44.593,0.000,,,,,
44.656,0.000,,,,,
44.750,0.000,,,,,
44.812,0.000,,,,,
44.875,0.000,,,,,
44.937,0.000,,,,,
45.000,0.000,,,,,
45.078,0.000,,,,,
45.140,0.000,,,,,
45.203,0.000,,,,,
45.265,0.000,,,,,
45.328,0.000,,,,,
45.406,0.000,,,,,
45.484,0.000,,,,,
45.546,0.000,,,,,
45.609,0.000,,,,,
45.671,0.000,,,,,
45.734,0.000,,,,,
45.796,0.000,,,,,
45.875,0.000,,,,,
45.937,0.000,,,,,
46.015,0.000,,,,,
46.078,0.000,,,,,
46.140,0.000,,,,,
46.218,0.000,,,,,
46.281,0.000,,,,,
46.343,0.000,,,,,
46.406,0.000,,,,,
46.468,0.000,,,,,
46.531,0.000,,,,,
46.609,0.000,,,,,
46.687,0.000,,,,,
46.750,0.000,,,,,
46.812,0.000,,,,,
46.875,0.000,,,,,
46.937,0.000,,,,,
47.015,0.000,,,,,
47.078,0.000,,,,,
47.140,0.000,,,,,
47.203,0.000,,,,,
47.265,0.000,,,,,
47.328,0.000,,,,,
47.421,0.000,,,,,
47.484,0.000,,,,,
47.546,0.000,,,,,
47.609,0.000,,,,,
47.671,0.000,,,,,
47.750,0.000,,,,,
47.812,0.000,,,,,
47.875,0.000,,,,,
47.937,0.000,,,,,
48.000,0.000,,,,,
48.078,0.000,,,,,
48.156,0.000,,,,,
48.218,0.000,,,,,
48.281,0.000,,,,,
48.343,0.000,,,,,
48.406,0.000,,,,,
48.468,0.000,,,,,
48.546,0.000,,,,,
48.609,0.000,,,,,
48.671,0.000,,,,,
48.750,0.000,,,,,
48.812,0.000,,,,,
48.890,0.000,,,,,
48.953,0.000,,,,,
49.015,0.000,,,,,
49.078,0.000,,,,,
49.140,0.000,,,,,
49.203,0.000,,,,,
49.281,0.000,,,,,
49.343,0.000,,,,,
49.421,0.000,,,,,
49.484,0.000,,,,,
49.546,0.000,,,,,
49.609,0.000,,,,,
49.687,0.000,,,,,
49.750,0.000,,,,,
49.812,0.000,,,,,
49.875,0.000,,,,,
49.937,0.000,,,,,
50.031,0.000,,,,,
50.093,0.000,,,,,
50.156,0.000,,,,,
50.218,0.000,,,,,
50.281,0.000,,,,,
50.343,0.000,,,,,
50.421,0.000,,,,,
50.484,0.000,,,,,
50.546,0.000,,,,,
50.609,0.000,,,,,
50.671,0.000,,,,,
50.750,0.000,,,,,
50.828,0.000,,,,,
50.890,0.000,,,,,
50.953,0.000,,,,,
51.015,0.000,,,,,
51.078,0.000,,,,,
51.156,0.000,,,,,
51.218,0.000,,,,,
51.281,0.000,,,,,
51.359,0.000,,,,,
51.421,0.000,,,,,
51.484,0.000,,,,,
51.562,0.000,,,,,
51.625,0.000,,,,,
51.687,0.000,,,,,
51.750,0.000,,,,,
51.812,0.000,,,,,
51.875,0.000,,,,,
51.953,0.000,,,,,
52.015,0.000,,,,,
52.093,0.000,,,,,
52.156,0.000,,,,,
52.218,0.000,,,,,
52.296,0.000,,,,,
52.359,0.000,,,,,
52.421,0.000,,,,,
52.484,0.000,,,,,
52.546,0.000,,,,,
52.609,0.000,,,,,
52.703,0.000,,,,,
52.765,0.000,,,,,
52.828,0.000,,,,,
52.890,0.000,,,,,
52.953,0.000,,,,,
53.015,0.000,,,,,
53.093,0.000,,,,,
53.156,0.000,,,,,
53.218,0.000,,,,,
53.281,0.000,,,,,
53.343,0.000,,,,,
53.421,0.000,,,,,
53.500,0.000,,,,,
53.562,0.000,,,,,
53.625,0.000,,,,,
53.687,0.000,,,,,
53.750,0.000,,,,,
53.828,0.000,,,,,
53.890,0.000,,,,,
53.953,0.000,,,,,
54.015,0.000,,,,,
54.093,0.000,,,,,
54.156,0.000,,,,,
54.234,0.000,,,,,
54.296,0.000,,,,,
54.359,0.000,,,,,
54.421,0.000,,,,,
54.484,0.000,,,,,
54.546,0.000,,,,,
54.625,0.000,,,,,
54.687,0.000,,,,,
54.765,0.000,,,,,
54.828,0.000,,,,,
54.890,0.000,,,,,
54.968,0.000,,,,,
55.031,0.000,,,,,
55.093,0.000,,,,,
55.156,0.000,,,,,
55.218,0.000,,,,,
55.281,0.000,,,,,
55.375,0.000,,,,,
55.437,0.000,,,,,
55.500,0.000,,,,,
55.562,0.000,,,,,
55.625,0.000,,,,,
55.687,0.000,,,,,
55.765,0.000,,,,,
55.828,0.000,,,,,
55.890,0.000,,,,,
55.953,0.000,,,,,
56.015,0.000,,,,,
56.109,0.000,,,,,
56.171,0.000,,,,,
56.234,0.000,,,,,
56.296,0.000,,,,,
56.359,0.000,,,,,
56.421,0.000,,,,,
56.500,0.000,,,,,
56.562,0.000,,,,,
56.625,0.000,,,,,
56.703,0.000,,,,,
56.765,0.000,,,,,
56.828,0.000,,,,,
56.906,0.000,,,,,
56.968,0.000,,,,,
57.031,0.000,,,,,
57.093,0.000,,,,,
57.156,0.000,,,,,
57.234,0.000,,,,,
57.296,0.000,,,,,
57.375,0.000,,,,,
57.437,0.000,,,,,
57.500,0.000,,,,,
57.562,0.000,,,,,
57.640,0.000,,,,,
57.703,0.000,,,,,
57.765,0.000,,,,,
57.828,0.000,,,,,
57.890,0.000,,,,,
57.953,0.000,,,,,
58.031,0.000,,,,,
58.109,0.000,,,,,
58.171,0.000,,,,,
58.234,0.000,,,,,
58.296,0.000,,,,,
58.375,0.000,,,,,
58.437,0.000,,,,,
58.500,0.000,,,,,
58.562,0.000,,,,,
58.625,0.000,,,,,
58.703,0.000,,,,,
58.781,0.000,,,,,
58.843,0.000,,,,,
58.906,0.000,,,,,
58.968,0.000,,,,,
59.031,0.000,,,,,
59.093,0.000,,,,,
59.171,0.000,,,,,
59.234,0.000,,,,,
59.296,0.000,,,,,
59.375,0.000,,,,,
59.437,0.000,,,,,
59.500,0.000,,,,,
59.578,0.000,,,,,
59.640,0.000,,,,,
59.703,0.000,,,,,
59.765,0.000,,,,,
59.828,0.000,,,,,
59.906,0.000,,,,,
59.968,0.000,,,,,
60.046,0.000,,,,,
60.109,0.000,,,,,
60.171,0.000,,,,,
60.234,0.000,,,,,
60.312,0.000,,,,,
60.375,0.000,,,,,
60.437,0.000,,,,,
60.500,0.000,,,,,
60.562,0.000,,,,,
60.625,0.000,,,,,
60.718,0.000,,,,,
60.781,0.000,,,,,
60.843,0.000,,,,,
60.906,0.000,,,,,
60.968,0.000,,,,,
61.046,0.000,,,,,
61.109,0.000,,,,,
61.171,0.000,,,,,
61.234,0.000,,,,,
61.296,0.000,,,,,
61.375,0.000,,,,,
61.453,0.000,,,,,
