t,joint_name,side,angle_deg
23.343,shoulder_L_abd,L,19.816778307161144
23.437,shoulder_L_abd,L,19.80788137825678
23.500,shoulder_R_abd,R,26.38045885735688
23.562,shoulder_L_abd,L,19.455149012279897
23.625,shoulder_L_abd,L,19.553221227856998
23.687,shoulder_L_abd,L,18.84752446509763
23.750,shoulder_R_abd,R,26.503062035178086
23.828,shoulder_L_abd,L,19.24167438191532
23.828,shoulder_R_abd,R,27.34862882509378
23.890,shoulder_R_abd,R,26.8889002971485
23.953,shoulder_L_abd,L,18.984347170845513
23.953,shoulder_R_abd,R,27.09976391915421
24.031,shoulder_R_abd,R,26.44690307203393
24.093,shoulder_L_abd,L,19.50127784813966
24.093,shoulder_R_abd,R,27.01619057194626
24.156,shoulder_R_abd,R,26.240684192245403
24.421,shoulder_R_abd,R,26.176726875148628
24.484,shoulder_R_abd,R,26.364936689408133
24.625,shoulder_R_abd,R,27.051489859488306
24.703,shoulder_L_abd,L,19.44472885605537
24.765,shoulder_R_abd,R,26.760139720766965
24.828,shoulder_L_abd,L,18.823142221632512
24.828,shoulder_R_abd,R,26.787894257151812
24.890,shoulder_L_abd,L,19.787776113708418
24.890,shoulder_R_abd,R,28.014854082770192
24.968,shoulder_R_abd,R,27.539456308283114
25.031,shoulder_R_abd,R,26.215059909956132
25.093,shoulder_L_abd,L,23.968506656810526
25.093,shoulder_R_abd,R,27.910390054018862
25.218,shoulder_R_abd,R,32.87803089037422
25.281,shoulder_L_abd,L,38.94797091447449
25.281,shoulder_R_abd,R,37.67745572749682
25.375,shoulder_L_abd,L,43.64862690453255
25.375,shoulder_R_abd,R,43.16244648220297
25.437,shoulder_L_abd,L,49.45035529837499
25.437,shoulder_R_abd,R,50.96859998533022
25.500,shoulder_L_abd,L,63.16329589973365
25.500,shoulder_R_abd,R,65.22487094010752
25.562,shoulder_L_abd,L,76.40808388471321
25.562,shoulder_R_abd,R,72.49504281835102
25.625,elbow_left,-,129.80613587654136
25.703,elbow_left,-,141.44770982681854
25.703,elbow_right,-,154.55602011028705
25.765,elbow_right,-,158.77877306399287
25.828,elbow_left,-,156.0115016281333
25.828,elbow_right,-,161.06028827301603
25.890,elbow_left,-,156.36497822962394
25.890,elbow_right,-,160.4334363290571
25.953,elbow_left,-,156.4894083426444
25.953,elbow_right,-,159.78235168791508
26.015,elbow_left,-,157.56425576408853
26.015,elbow_right,-,160.57203054583925
26.109,elbow_left,-,159.28875152316064
26.109,elbow_right,-,161.358797125196
26.171,elbow_left,-,158.46346992397096
26.171,elbow_right,-,162.61585696144587
26.234,elbow_left,-,156.59869650341466
26.234,elbow_right,-,162.4439464075644
26.296,elbow_left,-,155.62304606955826
26.296,elbow_right,-,160.68487428032418
26.359,elbow_left,-,156.72407158167445
26.359,elbow_right,-,160.74281852724772
26.421,elbow_left,-,155.5501035137221
26.421,elbow_right,-,160.82437315199513
26.500,elbow_left,-,156.28693503753647
26.500,elbow_right,-,162.25683396374887
26.562,elbow_left,-,155.82164314237892
26.562,elbow_right,-,161.227539014214
26.625,elbow_left,-,156.1879521247793
26.625,elbow_right,-,160.7294135944217
26.703,elbow_left,-,155.7173949595607
26.703,elbow_right,-,161.47692975898283
26.765,elbow_left,-,155.46414541732827
26.765,elbow_right,-,160.75707175931578
26.843,elbow_left,-,155.934362429038
26.843,elbow_right,-,163.63916558659716
26.906,elbow_left,-,153.79408731836247
26.906,elbow_right,-,161.5219924429699
26.968,elbow_left,-,154.19489626774111
26.968,elbow_right,-,162.48414943666586
27.031,elbow_left,-,155.32893138467918
27.031,elbow_right,-,162.663882618778
27.093,elbow_left,-,155.23069742233236
27.093,elbow_right,-,161.95911461464297
27.156,elbow_left,-,153.39857553493195
27.156,elbow_right,-,162.58942681522163
27.234,elbow_left,-,154.669153880221
27.234,elbow_right,-,162.5302542384108
27.296,elbow_left,-,153.73379192209035
27.296,elbow_right,-,161.38535483493547
27.359,elbow_left,-,154.51791562700984
27.359,elbow_right,-,159.7619255902062
27.437,elbow_left,-,154.61892119258556
27.437,elbow_right,-,162.38221181921955
27.500,elbow_left,-,154.58042636352144
27.500,elbow_right,-,162.86348899300654
27.562,elbow_left,-,154.7292857975008
27.562,elbow_right,-,160.96601790159613
27.640,elbow_left,-,154.81972315132816
27.640,elbow_right,-,162.06469059520748
27.703,elbow_left,-,154.4430531145694
27.703,elbow_right,-,161.41028860140887
27.765,elbow_left,-,155.25603550474597
27.765,elbow_right,-,162.30987114862054
27.828,elbow_left,-,154.2487665715491
27.828,elbow_right,-,160.04473043417258
27.890,elbow_left,-,154.4644430129705
27.890,elbow_right,-,161.52296223437492
27.968,elbow_left,-,155.60025226566202
27.968,elbow_right,-,161.4131169637982
28.031,elbow_left,-,155.28891255792087
28.031,elbow_right,-,162.2665074588667
28.109,elbow_left,-,154.47132839728093
28.109,elbow_right,-,160.8975474271396
28.171,elbow_left,-,154.3709999554381
28.171,elbow_right,-,162.09190329597396
28.234,elbow_left,-,152.4668891412017
28.234,elbow_right,-,161.5645154550733
28.296,elbow_left,-,154.59716313030077
28.296,elbow_right,-,161.0867473737636
28.375,elbow_left,-,152.8547284260659
28.375,elbow_right,-,161.55436692734665
28.437,elbow_left,-,156.0828765393456
28.437,elbow_right,-,162.9853416172897
28.500,elbow_left,-,155.19917087429315
28.500,elbow_right,-,162.61358248433686
28.562,elbow_left,-,154.37457680569793
28.562,elbow_right,-,161.97455917416946
28.625,elbow_left,-,152.25294314280166
28.625,elbow_right,-,163.14717034872692
28.703,elbow_left,-,153.42933525882975
28.703,elbow_right,-,162.8039337344805
28.781,elbow_left,-,154.15080222740815
28.781,elbow_right,-,163.142989070802
28.843,elbow_left,-,154.2217554877727
28.843,elbow_right,-,163.02981745660287
28.906,elbow_left,-,154.20144776601398
28.906,elbow_right,-,161.98329100914015
28.968,elbow_left,-,154.0744598981859
28.968,elbow_right,-,162.10980423225047
29.031,elbow_left,-,152.62788980552097
29.031,elbow_right,-,161.51571153905385
29.093,elbow_left,-,153.7411934830412
29.093,elbow_right,-,162.39065374907557
29.171,elbow_left,-,152.46770919868678
29.171,elbow_right,-,163.77447790643868
29.234,elbow_left,-,153.7845458129908
29.234,elbow_right,-,163.40937648178522
29.296,elbow_left,-,153.16284090758234
29.296,elbow_right,-,163.41334782355523
29.375,elbow_left,-,153.02253138657295
29.375,elbow_right,-,163.83479324448157
29.437,elbow_left,-,152.6908112023241
29.437,elbow_right,-,163.8466346521529
29.515,elbow_left,-,152.35287644561112
29.515,elbow_right,-,163.4618800216358
29.578,elbow_left,-,153.06765270211199
29.578,elbow_right,-,164.17135152871015
29.640,elbow_left,-,152.56347836702489
29.640,elbow_right,-,162.80110385881258
29.703,elbow_left,-,152.87181455093574
29.703,elbow_right,-,164.9603447173365
29.765,elbow_left,-,152.93194963969853
29.765,elbow_right,-,163.76240680701235
29.828,elbow_left,-,151.7590550525917
29.828,elbow_right,-,163.81944266257722
29.906,elbow_left,-,153.05443077264303
29.906,elbow_right,-,163.3033530739307
29.968,elbow_left,-,152.96321675455079
29.968,elbow_right,-,162.31959521945743
30.046,elbow_left,-,152.20106843317922
30.046,elbow_right,-,158.50844836100381
30.109,elbow_left,-,67.34489244925575
30.109,elbow_right,-,152.71596659964771
30.171,shoulder_L_abd,L,143.09689883186473
30.171,shoulder_R_abd,R,124.42014064253429
30.234,elbow_right,-,118.11216252428618
30.312,shoulder_L_abd,L,157.5846667053214
30.312,shoulder_R_abd,R,124.38053497285567
30.375,elbow_right,-,81.30913520607741
30.437,shoulder_R_abd,R,110.67161130149142
30.640,shoulder_R_abd,R,39.409926156620145
30.718,shoulder_R_abd,R,52.81026753931213
30.781,elbow_left,-,82.39214804433571
30.843,elbow_left,-,83.20780007573545
30.843,elbow_right,-,123.67158311773143
30.906,elbow_right,-,112.94680487755865
31.046,shoulder_L_abd,L,57.695946643047954
31.046,shoulder_R_abd,R,79.26607754122183
31.109,elbow_right,-,7.669614144072186
31.171,shoulder_L_abd,L,148.1624099480298
31.171,shoulder_R_abd,R,104.38543792855296
31.234,elbow_left,-,95.34609064712832
31.234,elbow_right,-,88.45888914015593
31.296,elbow_left,-,104.41497237386979
31.296,elbow_right,-,132.00732230322208
31.375,elbow_left,-,126.01597016563987
31.375,elbow_right,-,148.23322128900395
31.453,elbow_left,-,140.30976068018737
31.453,elbow_right,-,158.40626344406138
31.515,elbow_right,-,162.32105708805312
31.578,elbow_right,-,161.4084675271476
31.640,elbow_right,-,162.38264059287286
31.703,elbow_left,-,143.51842698987468
31.703,elbow_right,-,160.3643850759379
31.781,elbow_left,-,124.67905239459895
31.781,elbow_right,-,154.37373979681024
31.843,elbow_right,-,141.36196752037358
31.906,elbow_left,-,38.597666795672865
31.968,elbow_left,-,174.39870321474626
32.046,elbow_left,-,152.30669289944782
32.109,elbow_left,-,159.86511770740563
32.187,elbow_left,-,158.86170813572815
32.250,elbow_left,-,164.15336959482144
32.437,elbow_left,-,162.62759967986784
32.500,elbow_left,-,161.46577461446648
32.703,elbow_left,-,121.10917273698651
32.703,elbow_right,-,99.21932594528194
32.781,shoulder_R_abd,R,150.19955025548103
32.843,elbow_left,-,51.24838979905614
32.843,elbow_right,-,91.53118516221464
32.921,elbow_left,-,48.7922805551047
32.984,shoulder_L_abd,L,72.26334473380595
32.984,shoulder_R_abd,R,112.57065355475957
33.046,elbow_right,-,143.78361911196117
33.109,elbow_right,-,155.7047421033558
33.171,shoulder_L_abd,L,81.535236197904
33.171,shoulder_R_abd,R,96.88260739195697
33.234,shoulder_L_abd,L,85.15882112974724
33.234,shoulder_R_abd,R,95.98252519669536
33.328,shoulder_L_abd,L,86.73326123442368
33.328,shoulder_R_abd,R,99.2777415101976
33.375,shoulder_L_abd,L,90.62425183332479
33.375,shoulder_R_abd,R,100.1595337986802
33.453,shoulder_L_abd,L,93.38943299182205
