t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1761044754.016,0.000,,,,,
1761044754.050,0.000,,,,,
1761044754.080,0.000,,,,,
1761044754.112,0.000,,,,,
1761044754.143,0.000,,,,,
1761044754.176,0.000,,,,,
1761044754.208,0.000,,,,,
1761044754.242,0.000,,,,,
1761044754.288,0.000,,,,,
1761044754.321,0.000,,,,,
1761044754.352,0.000,,,,,
1761044754.385,0.000,,,,,
1761044754.416,0.000,,,,,
1761044754.448,0.000,,,,,
1761044754.482,0.000,,,,,
1761044754.513,0.000,,,,,
1761044754.545,0.000,,,,,
1761044754.577,0.000,,,,,
1761044754.609,0.000,,,,,
1761044754.656,0.000,,,,,
1761044754.690,0.000,,,,,
1761044754.721,0.000,,,,,
1761044754.753,0.000,,,,,
1761044754.784,0.000,,,,,
1761044754.816,0.000,,,,,
1761044754.849,0.000,,,,,
1761044754.881,0.000,,,,,
1761044754.912,0.000,,,,,
1761044754.944,0.000,,,,,
1761044754.976,0.000,,,,,
1761044755.025,0.000,,,,,
1761044755.057,0.000,,,,,
1761044755.088,0.000,,,,,
1761044755.122,0.000,,,,,
1761044755.152,0.000,,,,,
1761044755.184,0.000,,,,,
1761044755.216,0.000,,,,,
1761044755.248,0.000,,,,,
1761044755.280,0.000,,,,,
1761044755.313,0.000,,,,,
1761044755.344,0.000,,,,,
1761044755.393,0.000,,,,,
1761044755.424,0.000,,,,,
1761044755.456,0.000,,,,,
1761044755.488,0.000,,,,,
1761044755.520,0.000,,,,,
1761044755.555,0.000,,,,,
1761044755.584,0.000,,,,,
1761044755.616,0.000,,,,,
1761044755.648,0.000,,,,,
1761044755.680,0.000,,,,,
1761044755.712,0.000,,,,,
1761044755.761,0.000,,,,,
1761044755.792,0.000,,,,,
1761044755.824,0.000,,,,,
1761044755.856,0.000,,,,,
1761044755.888,0.000,,,,,
1761044755.920,0.000,,,,,
1761044755.952,0.000,,,,,
1761044755.985,0.000,,,,,
1761044756.016,0.000,,,,,
1761044756.048,0.000,,,,,
