t,joint_name,side,angle_deg
1760966877.707,elbow_right,-,178.72144642534045
1760966877.915,elbow_left,-,156.6643218752966
1760966877.947,elbow_left,-,158.43667442997304
1760966877.979,elbow_left,-,156.20743154841293
1760966878.651,elbow_right,-,175.60407995483803
1760966878.956,elbow_right,-,176.01100383886885
1760966879.020,elbow_right,-,175.71499404732273
1760966879.148,elbow_right,-,176.19820930765573
1760966879.179,elbow_right,-,175.75369918899025
1760966879.211,elbow_right,-,177.26083136377326
1760966879.323,elbow_right,-,176.28943739827787
1760966879.355,elbow_right,-,175.9931740541829
1760966879.451,elbow_right,-,176.43212387688445
1760966879.483,elbow_right,-,176.28569259693495
1760966879.579,elbow_right,-,176.6084053741856
1760966879.883,elbow_left,-,155.39240766755233
1760966880.523,elbow_left,-,158.26043047679653
1760966880.587,elbow_left,-,158.62611409569956
1760966880.620,elbow_left,-,157.97862442504626
1760966880.651,elbow_left,-,160.93356161096068
1760966880.683,elbow_left,-,159.94688643119673
1760966880.715,elbow_left,-,159.71139958817574
1760966880.763,elbow_left,-,157.6639082132338
1760966880.795,elbow_left,-,160.30061102735874
1760966880.827,elbow_left,-,158.76797290112384
1760966880.860,elbow_left,-,159.44881979769167
1760966880.891,elbow_left,-,160.2261194673357
1760966880.922,elbow_left,-,158.7843874463179
1760966880.955,elbow_left,-,158.62604850242153
1760966880.987,elbow_left,-,156.53610889865317
1760966881.018,elbow_left,-,160.61484910247867
1760966881.051,elbow_left,-,156.16981472525265
1760966881.083,elbow_left,-,158.0900381356749
1760966881.130,elbow_left,-,159.36748869355714
1760966881.163,elbow_left,-,158.12738147174215
1760966881.195,elbow_left,-,158.76925544097466
1760966881.227,elbow_left,-,158.26348260258285
1760966881.259,elbow_left,-,159.18498045283812
1760966881.259,hip_right,-,175.92950731710704
1760966881.296,elbow_left,-,157.48158362188929
1760966881.296,elbow_right,-,179.7230469573374
1760966881.296,hip_right,-,176.8879992588767
1760966881.324,elbow_left,-,159.2590299654188
1760966881.324,elbow_right,-,179.97202354488172
1760966881.324,hip_right,-,176.47085804627773
1760966881.355,elbow_left,-,158.81560850468415
1760966881.355,elbow_right,-,179.52728762889257
1760966881.355,hip_right,-,178.23830231467022
