t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
60.453,0.000,,,,,
60.468,0.000,,,,,
60.515,0.000,,,,,
60.515,0.000,,,,,
60.578,0.000,,,,,
60.578,0.000,,,,,
60.640,0.000,,,,,
60.687,0.000,,,,,
60.703,0.000,,,,,
60.750,0.000,,,,,
60.750,0.000,,,,,
60.797,0.000,,,,,
60.812,0.000,,,,,
60.859,0.000,,,,,
60.875,0.000,,,,,
60.922,0.000,,,,,
60.968,0.000,,,,,
60.984,0.000,,,,,
61.031,0.000,,,,,
61.078,0.000,,,,,
61.093,0.000,,,,,
61.140,0.000,,,,,
61.156,0.000,,,,,
61.203,0.000,,,,,
61.250,0.000,,,,,
61.250,0.000,,,,,
61.297,0.000,,,,,
61.312,0.000,,,,,
61.359,0.000,,,,,
61.406,0.000,,,,,
61.422,0.000,,,,,
61.468,0.000,,,,,
61.515,0.000,,,,,
61.515,0.000,,,,,
61.578,0.000,,,,,
61.578,0.000,,,,,
61.640,0.000,,,,,
61.640,0.000,,,,,
61.703,0.000,,,,,
61.703,0.000,,,,,
61.750,0.000,,,,,
61.812,0.000,,,,,
61.859,0.000,,,,,
61.906,0.000,,,,,
61.968,0.000,,,,,
61.968,0.000,,,,,
62.015,0.000,,,,,
62.062,0.000,,,,,
62.078,0.000,,,,,
62.125,0.000,,,,,
62.125,0.000,,,,,
62.172,0.000,,,,,
62.218,0.000,,,,,
62.218,0.000,,,,,
62.281,0.000,,,,,
62.343,0.000,,,,,
62.343,0.000,,,,,
62.390,0.000,,,,,
62.390,0.000,,,,,
62.453,0.000,,,,,
62.500,0.000,,,,,
62.500,0.000,,,,,
62.547,0.000,,,,,
62.547,0.000,,,,,
62.609,0.000,,,,,
62.656,0.000,,,,,
62.656,0.000,,,,,
62.718,0.000,,,,,
62.765,0.000,,,,,
62.781,0.000,,,,,
62.828,0.000,,,,,
62.828,0.000,,,,,
62.875,0.000,,,,,
62.937,0.000,,,,,
62.937,0.000,,,,,
62.984,0.000,,,,,
63.047,0.000,,,,,
63.047,0.000,,,,,
63.109,0.000,,,,,
63.109,0.000,,,,,
63.156,0.000,,,,,
63.218,0.000,,,,,
63.218,0.000,,,,,
63.281,0.000,,,,,
63.281,0.000,,,,,
63.328,0.000,,,,,
63.343,0.000,,,,,
63.375,0.000,,,,,
63.437,0.000,,,,,
63.437,0.000,,,,,
63.484,0.000,,,,,
63.531,0.000,,,,,
63.547,0.000,,,,,
63.593,0.000,,,,,
63.593,0.000,,,,,
63.640,0.000,,,,,
63.687,0.000,,,,,
63.703,0.000,,,,,
63.750,0.000,,,,,
63.812,0.000,,,,,
63.812,0.000,,,,,
63.859,0.000,,,,,
63.859,0.000,,,,,
63.922,0.000,,,,,
63.968,0.000,,,,,
63.968,0.000,,,,,
64.015,0.000,,,,,
64.015,0.000,,,,,
64.078,0.000,,,,,
64.125,0.000,,,,,
64.125,0.000,,,,,
64.187,0.000,,,,,
64.234,0.000,,,,,
64.250,0.000,,,,,
64.297,0.000,,,,,
64.359,0.000,,,,,
64.359,0.000,,,,,
64.406,0.000,,,,,
64.422,0.000,,,,,
64.468,0.000,,,,,
64.468,0.000,,,,,
64.515,0.000,,,,,
64.515,0.000,,,,,
64.578,0.000,,,,,
64.625,0.000,,,,,
64.672,0.000,,,,,
