t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1761082832.296,0.000,,,,,
1761082832.360,0.000,,,,,
1761082832.441,0.000,,,,,
1761082832.504,0.000,,,,,
1761082832.568,0.000,,,,,
1761082832.632,0.000,,,,,
1761082832.697,0.000,,,,,
1761082832.759,0.000,,,,,
1761082832.840,0.000,,,,,
1761082832.903,0.000,,,,,
1761082832.969,0.000,,,,,
1761082833.032,0.000,,,,,
1761082833.096,0.000,,,,,
1761082833.162,0.000,,,,,
1761082833.240,0.000,,,,,
1761082833.305,0.000,,,,,
1761082833.368,0.000,,,,,
1761082833.434,0.000,,,,,
1761082833.496,0.000,,,,,
1761082833.576,0.000,,,,,
1761082833.639,0.000,,,,,
1761082833.705,0.000,,,,,
1761082833.768,0.000,,,,,
1761082833.832,0.000,,,,,
1761082833.898,0.000,,,,,
1761082833.976,0.000,,,,,
1761082834.039,0.000,,,,,
1761082834.105,0.000,,,,,
1761082834.169,0.000,,,,,
1761082834.231,0.000,,,,,
1761082834.295,0.000,,,,,
1761082834.377,0.000,,,,,
1761082834.440,0.000,,,,,
1761082834.504,0.000,,,,,
1761082834.569,0.000,,,,,
1761082834.632,0.000,,,,,
1761082834.712,0.000,,,,,
1761082834.775,0.000,,,,,
1761082834.841,0.000,,,,,
1761082834.904,0.000,,,,,
1761082834.968,0.000,,,,,
1761082835.034,0.000,,,,,
1761082835.112,0.000,,,,,
1761082835.176,0.000,,,,,
1761082835.240,0.000,,,,,
1761082835.305,0.000,,,,,
1761082835.369,0.000,,,,,
1761082835.432,0.000,,,,,
1761082835.513,0.000,,,,,
1761082835.576,0.000,,,,,
1761082835.639,0.000,,,,,
1761082835.705,0.000,,,,,
1761082835.768,0.000,,,,,
1761082835.847,0.000,,,,,
1761082835.912,0.000,,,,,
1761082835.977,0.000,,,,,
1761082836.041,0.000,,,,,
1761082836.104,0.000,,,,,
1761082836.169,0.000,,,,,
1761082836.248,0.000,,,,,
1761082836.313,0.000,,,,,
1761082836.376,0.000,,,,,
1761082836.441,0.000,,,,,
1761082836.504,0.000,,,,,
1761082836.569,0.000,,,,,
1761082836.650,0.000,,,,,
1761082836.712,0.000,,,,,
1761082836.775,0.000,,,,,
1761082836.841,0.000,,,,,
1761082836.904,0.000,,,,,
1761082836.984,0.000,,,,,
1761082837.049,0.000,,,,,
1761082837.112,0.000,,,,,
1761082837.176,0.000,,,,,
1761082837.240,0.000,,,,,
1761082837.305,0.000,,,,,
1761082837.383,0.000,,,,,
1761082837.448,0.000,,,,,
1761082837.511,0.000,,,,,
1761082837.577,0.000,,,,,
1761082837.639,0.000,,,,,
1761082837.703,0.000,,,,,
1761082837.785,0.000,,,,,
1761082837.848,0.000,,,,,
1761082837.912,0.000,,,,,
1761082837.976,0.000,,,,,
1761082838.041,0.000,,,,,
1761082838.120,0.000,,,,,
1761082838.184,0.000,,,,,
1761082838.248,0.000,,,,,
1761082838.313,0.000,,,,,
1761082838.376,0.000,,,,,
1761082838.441,0.000,,,,,
1761082838.521,0.000,,,,,
1761082838.584,0.000,,,,,
1761082838.648,0.000,,,,,
1761082838.712,0.000,,,,,
1761082838.777,0.000,,,,,
1761082838.840,0.000,,,,,
1761082838.920,0.000,,,,,
1761082838.984,0.000,,,,,
1761082839.049,0.000,,,,,
1761082839.112,0.000,,,,,
1761082839.176,0.000,,,,,
1761082839.257,0.000,,,,,
1761082839.319,0.000,,,,,
1761082839.384,0.000,,,,,
1761082839.448,0.000,,,,,
1761082839.513,0.000,,,,,
1761082839.576,0.000,,,,,
1761082839.656,0.000,,,,,
1761082839.719,0.000,,,,,
1761082839.785,0.000,,,,,
1761082839.847,0.000,,,,,
1761082839.912,0.000,,,,,
1761082839.977,0.000,,,,,
1761082840.056,0.000,,,,,
1761082840.120,0.000,,,,,
1761082840.184,0.000,,,,,
1761082840.248,0.000,,,,,
1761082840.312,0.000,,,,,
1761082840.376,0.000,,,,,
1761082840.457,0.000,,,,,
1761082840.520,0.000,,,,,
1761082840.585,0.000,,,,,
1761082840.649,0.000,,,,,
1761082840.713,0.000,,,,,
1761082840.792,0.000,,,,,
1761082840.856,0.000,,,,,
1761082840.922,0.000,,,,,
1761082840.984,0.000,,,,,
1761082841.048,0.000,,,,,
1761082841.113,0.000,,,,,
1761082841.192,0.000,,,,,
1761082841.256,0.000,,,,,
1761082841.320,0.000,,,,,
1761082841.386,0.000,,,,,
1761082841.448,0.000,,,,,
1761082841.512,0.000,,,,,
1761082841.592,0.000,,,,,
