t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
8.359,0.000,,,,,
8.359,0.000,,,,,
8.406,0.000,,,,,
8.453,0.000,,,,,
8.453,0.000,,,,,
8.500,0.000,,,,,
8.531,0.000,,,,,
8.531,0.000,,,,,
8.578,0.000,,,,,
8.625,0.000,,,,,
8.625,0.000,,,,,
8.671,0.000,,,,,
8.687,0.000,,,,,
8.734,0.000,,,,,
8.734,0.000,,,,,
8.781,0.000,,,,,
8.828,0.000,,,,,
8.843,0.000,,,,,
8.890,0.000,,,,,
8.890,0.000,,,,,
8.953,0.000,,,,,
9.000,0.000,,,,,
9.046,0.000,,,,,
9.046,0.000,,,,,
9.109,0.000,,,,,
9.109,0.000,,,,,
9.156,0.000,,,,,
9.171,0.000,,,,,
9.218,0.000,,,,,
9.265,0.000,,,,,
9.265,0.000,,,,,
9.312,0.000,,,,,
9.359,0.000,,,,,
9.406,0.000,,,,,
9.453,0.000,,,,,
9.453,0.000,,,,,
9.515,0.000,,,,,
9.515,0.000,,,,,
9.562,0.000,,,,,
9.609,0.000,,,,,
9.656,0.000,,,,,
9.703,0.000,,,,,
9.703,0.000,,,,,
9.750,0.000,,,,,
9.796,0.000,,,,,
9.796,0.000,,,,,
9.843,0.000,,,,,
9.843,0.000,,,,,
9.890,0.000,,,,,
9.937,0.000,,,,,
10.000,0.000,,,,,
10.046,0.000,,,,,
10.046,0.000,,,,,
10.093,0.000,,,,,
10.140,0.000,,,,,
10.187,0.000,,,,,
10.187,0.000,,,,,
10.218,0.000,,,,,
10.234,0.000,,,,,
10.281,0.000,,,,,
10.281,0.000,,,,,
10.328,0.000,,,,,
10.328,0.000,,,,,
10.375,0.000,,,,,
10.437,0.000,,,,,
10.437,0.000,,,,,
10.484,0.000,,,,,
10.531,0.000,,,,,
10.531,0.000,,,,,
10.578,0.000,,,,,
10.625,0.000,,,,,
10.671,0.000,,,,,
10.687,0.000,,,,,
10.734,0.000,,,,,
10.734,0.000,,,,,
10.781,0.000,,,,,
10.843,0.000,,,,,
10.843,0.000,,,,,
10.890,0.000,,,,,
10.937,0.000,,,,,
10.984,0.000,,,,,
11.031,0.000,,,,,
11.078,0.000,,,,,
11.109,0.000,,,,,
11.156,0.000,,,,,
11.203,0.000,,,,,
11.234,0.000,,,,,
11.281,0.000,,,,,
11.281,0.000,,,,,
11.328,0.000,,,,,
11.375,0.000,,,,,
11.421,0.000,,,,,
11.421,0.000,,,,,
11.468,0.000,,,,,
11.515,0.000,,,,,
11.562,0.000,,,,,
11.562,0.000,,,,,
11.609,0.000,,,,,
11.656,0.000,,,,,
11.703,0.000,,,,,
11.718,0.000,,,,,
11.750,0.000,,,,,
11.765,0.000,,,,,
11.796,0.000,,,,,
11.843,0.000,,,,,
11.890,0.000,,,,,
11.937,0.000,,,,,
11.937,0.000,,,,,
11.984,0.000,,,,,
12.031,0.000,,,,,
12.031,0.000,,,,,
12.062,0.000,,,,,
12.109,0.000,,,,,
12.109,0.000,,,,,
12.156,0.000,,,,,
12.203,0.000,,,,,
12.203,0.000,,,,,
12.250,0.000,,,,,
12.250,0.000,,,,,
12.312,0.000,,,,,
12.359,0.000,,,,,
12.359,0.000,,,,,
12.406,0.000,,,,,
12.453,0.000,,,,,
12.500,0.000,,,,,
12.531,0.000,,,,,
12.578,0.000,,,,,
12.625,0.000,,,,,
12.671,0.000,,,,,
12.671,0.000,,,,,
12.718,0.000,,,,,
12.765,0.000,,,,,
12.765,0.000,,,,,
12.812,0.000,,,,,
12.859,0.000,,,,,
12.859,0.000,,,,,
12.906,0.000,,,,,
12.953,0.000,,,,,
12.953,0.000,,,,,
13.000,0.000,,,,,
13.046,0.000,,,,,
13.093,0.000,,,,,
13.093,0.000,,,,,
13.140,0.000,,,,,
13.187,0.000,,,,,
13.218,0.000,,,,,
13.234,0.000,,,,,
13.265,0.000,,,,,
13.312,0.000,,,,,
13.359,0.000,,,,,
13.406,0.000,,,,,
13.406,0.000,,,,,
13.453,0.000,,,,,
13.500,0.000,,,,,
13.500,0.000,,,,,
13.546,0.000,,,,,
13.578,0.000,,,,,
13.625,0.000,,,,,
13.625,0.000,,,,,
13.671,0.000,,,,,
13.718,0.000,,,,,
13.765,0.000,,,,,
13.765,0.000,,,,,
13.812,0.000,,,,,
13.859,0.000,,,,,
13.906,0.000,,,,,
13.906,0.000,,,,,
13.953,0.000,,,,,
14.000,0.000,,,,,
14.000,0.000,,,,,
14.046,0.000,,,,,
14.093,0.000,,,,,
14.093,0.000,,,,,
14.140,0.000,,,,,
14.187,0.000,,,,,
14.218,0.000,,,,,
14.234,0.000,,,,,
14.265,0.000,,,,,
14.312,0.000,,,,,
14.343,0.000,,,,,
14.359,0.000,,,,,
14.390,0.000,,,,,
14.437,0.000,,,,,
14.484,0.000,,,,,
14.531,0.000,,,,,
14.578,0.000,,,,,
14.578,0.000,,,,,
14.640,0.000,,,,,
14.671,0.000,,,,,
14.687,0.000,,,,,
14.734,0.000,,,,,
14.765,0.000,,,,,
14.828,0.000,,,,,
14.875,0.000,,,,,
14.875,0.000,,,,,
14.921,0.000,,,,,
14.921,0.000,,,,,
14.968,0.000,,,,,
14.968,0.000,,,,,
15.015,0.000,,,,,
15.062,0.000,,,,,
15.109,0.000,,,,,
15.109,0.000,,,,,
15.156,0.000,,,,,
15.156,0.000,,,,,
15.187,0.000,,,,,
15.234,0.000,,,,,
15.281,0.000,,,,,
15.328,0.000,,,,,
15.359,0.000,,,,,
15.375,0.000,,,,,
15.406,0.000,,,,,
15.453,0.000,,,,,
15.500,0.000,,,,,
15.531,0.000,,,,,
15.578,0.000,,,,,
15.625,0.000,,,,,
15.671,0.000,,,,,
15.703,0.000,,,,,
15.750,0.000,,,,,
15.750,0.000,,,,,
15.796,0.000,,,,,
15.796,0.000,,,,,
15.843,0.000,,,,,
15.890,0.000,,,,,
15.921,0.000,,,,,
15.937,0.000,,,,,
15.968,0.000,,,,,
16.015,0.000,,,,,
16.062,0.000,,,,,
16.109,0.000,,,,,
16.156,0.000,,,,,
16.156,0.000,,,,,
16.203,0.000,,,,,
16.250,0.000,,,,,
16.296,0.000,,,,,
16.296,0.000,,,,,
16.343,0.000,,,,,
16.375,0.000,,,,,
16.375,0.000,,,,,
16.421,0.000,,,,,
16.468,0.000,,,,,
16.484,0.000,,,,,
16.515,0.000,,,,,
16.531,0.000,,,,,
16.578,0.000,,,,,
16.609,0.000,,,,,
16.609,0.000,,,,,
16.656,0.000,,,,,
16.656,0.000,,,,,
16.703,0.000,,,,,
16.750,0.000,,,,,
16.796,0.000,,,,,
16.843,0.000,,,,,
16.843,0.000,,,,,
16.890,0.000,,,,,
16.937,0.000,,,,,
16.984,0.000,,,,,
16.984,0.000,,,,,
17.031,0.000,,,,,
17.031,0.000,,,,,
17.078,0.000,,,,,
17.109,0.000,,,,,
17.156,0.000,,,,,
17.203,0.000,,,,,
17.250,0.000,,,,,
17.250,0.000,,,,,
17.296,0.000,,,,,
17.343,0.000,,,,,
17.343,0.000,,,,,
17.390,0.000,,,,,
17.421,0.000,,,,,
17.468,0.000,,,,,
17.468,0.000,,,,,
17.515,0.000,,,,,
17.562,0.000,,,,,
17.609,0.000,,,,,
17.609,0.000,,,,,
17.671,0.000,,,,,
17.718,0.000,,,,,
17.718,0.000,,,,,
17.765,0.000,,,,,
17.812,0.000,,,,,
17.812,0.000,,,,,
17.859,0.000,,,,,
17.890,0.000,,,,,
17.906,0.000,,,,,
17.937,0.000,,,,,
17.984,0.000,,,,,
18.015,0.000,,,,,
18.031,0.000,,,,,
18.078,0.000,,,,,
18.125,0.000,,,,,
18.156,0.000,,,,,
18.156,0.000,,,,,
18.218,0.000,,,,,
18.265,0.000,,,,,
18.312,0.000,,,,,
18.312,0.000,,,,,
18.359,0.000,,,,,
18.406,0.000,,,,,
18.453,0.000,,,,,
18.453,0.000,,,,,
18.500,0.000,,,,,
18.500,0.000,,,,,
18.546,0.000,,,,,
18.593,0.000,,,,,
18.593,0.000,,,,,
18.625,0.000,,,,,
18.671,0.000,,,,,
18.718,0.000,,,,,
18.765,0.000,,,,,
18.812,0.000,,,,,
18.859,0.000,,,,,
18.859,0.000,,,,,
18.906,0.000,,,,,
18.921,0.000,,,,,
18.953,0.000,,,,,
19.000,0.000,,,,,
19.015,0.000,,,,,
19.062,0.000,,,,,
19.093,0.000,,,,,
19.140,0.000,,,,,
19.156,0.000,,,,,
19.203,0.000,,,,,
19.250,0.000,,,,,
19.250,0.000,,,,,
19.296,0.000,,,,,
19.343,0.000,,,,,
19.343,0.000,,,,,
19.390,0.000,,,,,
19.437,0.000,,,,,
19.484,0.000,,,,,
19.500,0.000,,,,,
19.546,0.000,,,,,
19.593,0.000,,,,,
19.593,0.000,,,,,
19.640,0.000,,,,,
19.656,0.000,,,,,
19.687,0.000,,,,,
19.750,0.000,,,,,
19.750,0.000,,,,,
19.812,0.000,,,,,
19.859,0.000,,,,,
19.906,0.000,,,,,
19.906,0.000,,,,,
19.906,0.000,,,,,
19.953,0.000,,,,,
20.000,0.000,,,,,
20.046,0.000,,,,,
20.062,0.000,,,,,
20.093,0.000,,,,,
20.156,0.000,,,,,
20.156,0.000,,,,,
20.203,0.000,,,,,
20.250,0.000,,,,,
20.265,0.000,,,,,
20.312,0.000,,,,,
20.359,0.000,,,,,
20.359,0.000,,,,,
20.406,0.000,,,,,
20.453,0.000,,,,,
20.453,0.000,,,,,
20.500,0.000,,,,,
20.546,0.000,,,,,
20.546,0.000,,,,,
20.593,0.000,,,,,
20.640,0.000,,,,,
20.671,0.000,,,,,
20.671,0.000,,,,,
20.718,0.000,,,,,
20.765,0.000,,,,,
20.812,0.000,,,,,
