t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
6.610,0.000,,,,,
6.672,0.000,,,,,
6.735,0.000,,,,,
6.813,0.000,,,,,
6.875,0.000,,,,,
6.953,0.000,,,,,
7.016,0.000,,,,,
7.078,0.000,,,,,
7.141,0.000,,,,,
7.203,0.000,,,,,
7.281,0.000,,,,,
7.344,0.000,,,,,
7.406,0.000,,,,,
7.485,0.000,,,,,
7.547,0.000,,,,,
7.610,0.000,,,,,
7.688,0.000,,,,,
7.750,0.000,,,,,
7.813,0.000,,,,,
7.875,0.000,,,,,
7.938,0.000,,,,,
8.000,0.000,,,,,
8.078,0.000,,,,,
8.141,0.000,,,,,
8.219,0.000,,,,,
8.281,0.000,,,,,
8.344,0.000,,,,,
8.422,0.000,,,,,
8.485,0.000,,,,,
8.547,0.000,,,,,
8.610,0.000,,,,,
8.672,0.000,,,,,
8.735,0.000,,,,,
8.813,0.000,,,,,
8.891,0.000,,,,,
8.953,0.000,,,,,
9.016,0.000,,,,,
9.078,0.000,,,,,
9.141,0.000,,,,,
9.219,0.000,,,,,
9.281,0.000,,,,,
9.344,0.000,,,,,
9.406,0.000,,,,,
9.469,0.000,,,,,
9.547,0.000,,,,,
9.625,0.000,,,,,
9.688,0.000,,,,,
9.750,0.000,,,,,
9.813,0.000,,,,,
9.875,0.000,,,,,
9.953,0.000,,,,,
10.016,0.000,,,,,
10.078,0.000,,,,,
10.141,0.000,,,,,
10.219,0.000,,,,,
10.281,0.000,,,,,
10.360,0.000,,,,,
10.422,0.000,,,,,
10.485,0.000,,,,,
10.547,0.000,,,,,
10.610,0.000,,,,,
10.672,0.000,,,,,
10.750,0.000,,,,,
10.813,0.000,,,,,
10.891,0.000,,,,,
10.953,0.000,,,,,
11.016,0.000,,,,,
11.094,0.000,,,,,
11.156,0.000,,,,,
11.219,0.000,,,,,
11.281,0.000,,,,,
11.344,0.000,,,,,
11.406,0.000,,,,,
11.485,0.000,,,,,
11.563,0.000,,,,,
11.625,0.000,,,,,
11.688,0.000,,,,,
11.750,0.000,,,,,
11.813,0.000,,,,,
11.891,0.000,,,,,
11.953,0.000,,,,,
12.016,0.000,,,,,
12.078,0.000,,,,,
12.141,0.000,,,,,
12.235,0.000,,,,,
12.297,0.000,,,,,
12.360,0.000,,,,,
12.422,0.000,,,,,
12.485,0.000,,,,,
12.547,0.000,,,,,
12.625,0.000,,,,,
12.688,0.000,,,,,
12.750,0.000,,,,,
12.828,0.000,,,,,
12.891,0.000,,,,,
12.953,0.000,,,,,
13.031,0.000,,,,,
13.094,0.000,,,,,
13.156,0.000,,,,,
13.219,0.000,,,,,
13.281,0.000,,,,,
13.360,0.000,,,,,
13.422,0.000,,,,,
13.500,0.000,,,,,
13.563,0.000,,,,,
13.625,0.000,,,,,
13.688,0.000,,,,,
13.766,0.000,,,,,
13.828,0.000,,,,,
13.891,0.000,,,,,
13.953,0.000,,,,,
14.016,0.000,,,,,
14.078,0.000,,,,,
14.156,0.000,,,,,
14.235,0.000,,,,,
14.297,0.000,,,,,
14.360,0.000,,,,,
14.422,0.000,,,,,
14.500,0.000,,,,,
14.563,0.000,,,,,
14.625,0.000,,,,,
14.688,0.000,,,,,
14.750,0.000,,,,,
14.813,0.000,,,,,
14.906,0.000,,,,,
14.969,0.000,,,,,
15.031,0.000,,,,,
15.094,0.000,,,,,
15.156,0.000,,,,,
15.219,0.000,,,,,
15.297,0.000,,,,,
15.360,0.000,,,,,
15.422,0.000,,,,,
15.485,0.000,,,,,
15.563,0.000,,,,,
15.625,0.000,,,,,
15.703,0.000,,,,,
15.766,0.000,,,,,
15.828,0.000,,,,,
15.891,0.000,,,,,
15.953,0.000,,,,,
16.031,0.000,,,,,
16.094,0.000,,,,,
16.172,0.000,,,,,
16.235,0.000,,,,,
16.297,0.000,,,,,
16.360,0.000,,,,,
16.438,0.000,,,,,
16.500,0.000,,,,,
16.563,0.000,,,,,
16.625,0.000,,,,,
16.688,0.000,,,,,
16.750,0.000,,,,,
16.844,0.000,,,,,
16.906,0.000,,,,,
16.969,0.000,,,,,
17.031,0.000,,,,,
17.094,0.000,,,,,
17.172,0.000,,,,,
17.235,0.000,,,,,
17.297,0.000,,,,,
17.360,0.000,,,,,
17.422,0.000,,,,,
17.500,0.000,,,,,
17.578,0.000,,,,,
17.641,0.000,,,,,
17.703,0.000,,,,,
17.766,0.000,,,,,
17.828,0.000,,,,,
17.891,0.000,,,,,
17.969,0.000,,,,,
18.031,0.000,,,,,
18.094,0.000,,,,,
18.172,0.000,,,,,
18.235,0.000,,,,,
18.313,0.000,,,,,
18.375,0.000,,,,,
18.438,0.000,,,,,
18.500,0.000,,,,,
18.563,0.000,,,,,
18.625,0.000,,,,,
18.703,0.000,,,,,
18.766,0.000,,,,,
18.828,0.000,,,,,
18.906,0.000,,,,,
18.969,0.000,,,,,
19.031,0.000,,,,,
19.110,0.000,,,,,
19.172,0.000,,,,,
19.235,0.000,,,,,
19.297,0.000,,,,,
19.360,0.000,,,,,
19.438,0.000,,,,,
19.500,0.000,,,,,
19.578,0.000,,,,,
19.641,0.000,,,,,
19.703,0.000,,,,,
19.766,0.000,,,,,
19.844,0.000,,,,,
19.906,0.000,,,,,
19.969,0.000,,,,,
20.031,0.000,,,,,
20.094,0.000,,,,,
20.156,0.000,,,,,
20.250,0.000,,,,,
20.313,0.000,,,,,
20.375,0.000,,,,,
20.438,0.000,,,,,
20.500,0.000,,,,,
20.578,0.000,,,,,
20.641,0.000,,,,,
20.703,0.000,,,,,
