rep_idx,rep_score
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
SUMMARY,,
form_stability,0.9665
symmetry_index,0.0000
final_percent,29.00
