t,joint_name,side,angle_deg
1761082297.868,shoulder_L_abd,L,140.38464689960327
1761082297.933,shoulder_L_abd,L,148.70497420485356
1761082297.996,elbow_left,-,93.96503489442183
1761082298.061,elbow_left,-,92.24821796577544
1761082298.124,elbow_left,-,90.31067227652703
1761082298.188,elbow_left,-,89.8940140932769
1761082298.269,elbow_left,-,90.34508384045733
1761082298.332,elbow_left,-,90.59289474671333
1761082298.395,elbow_left,-,91.69995926586394
1761082298.460,elbow_left,-,93.4723524086974
1761082298.524,elbow_left,-,94.8607821494617
1761082298.604,elbow_left,-,95.91845430476954
1761082298.668,elbow_left,-,93.95603083897177
1761082298.733,elbow_left,-,94.48612684291027
1761082298.733,elbow_right,-,41.21535181423815
1761082298.797,elbow_left,-,94.3616865353408
1761082298.797,elbow_right,-,80.82660320582089
1761082298.860,elbow_left,-,97.92037765945699
1761082298.924,elbow_left,-,97.38546476623229
1761082298.924,elbow_right,-,108.12637892043924
1761082299.004,elbow_right,-,112.75152819714697
1761082299.068,elbow_right,-,111.6535052109559
1761082299.132,elbow_right,-,107.46331043616436
1761082299.197,elbow_left,-,121.26203669265311
1761082299.260,shoulder_R_abd,R,171.65369111873437
1761082299.323,elbow_left,-,124.30035864781833
1761082299.405,elbow_left,-,121.92161978607089
1761082299.405,elbow_right,-,106.59972400290856
1761082299.468,elbow_left,-,121.7305374051286
1761082299.468,elbow_right,-,104.9162127759732
1761082299.532,elbow_left,-,122.56749546016897
1761082299.532,elbow_right,-,105.9985790722354
1761082299.597,elbow_left,-,120.88071683025244
1761082299.597,elbow_right,-,103.45476782772468
1761082299.660,elbow_left,-,121.69173010365395
1761082299.660,elbow_right,-,102.7190753577665
1761082299.739,elbow_left,-,121.39270185280971
1761082299.739,elbow_right,-,105.30745604653303
1761082299.804,elbow_left,-,119.45181383048529
1761082299.804,elbow_right,-,103.406711143952
1761082299.869,elbow_left,-,102.99325511413329
1761082299.869,elbow_right,-,102.04078044136122
1761082299.931,elbow_left,-,101.79523890490397
1761082299.931,elbow_right,-,100.36380527227423
1761082299.996,elbow_left,-,98.53379047039215
1761082300.061,elbow_left,-,99.23404678173893
1761082300.061,elbow_right,-,108.28687407997867
1761082300.140,elbow_left,-,102.82797477666932
1761082300.140,elbow_right,-,105.85559499580208
1761082300.204,elbow_left,-,100.4671993704586
1761082300.204,elbow_right,-,105.31688870528853
1761082300.268,elbow_left,-,102.43592557047435
1761082300.268,elbow_right,-,105.25642118432846
1761082300.333,elbow_left,-,102.710608319078
1761082300.333,elbow_right,-,103.68871684995439
1761082300.396,elbow_left,-,100.95205445411618
1761082300.396,elbow_right,-,104.62537332541004
1761082300.460,elbow_left,-,100.37980256719429
1761082300.460,elbow_right,-,104.38002437975821
1761082300.541,elbow_left,-,103.3727819689203
1761082300.541,elbow_right,-,104.70246848263521
1761082300.604,elbow_left,-,106.07832105259813
1761082300.604,elbow_right,-,106.06156054128715
1761082300.668,elbow_left,-,107.77409028104128
1761082300.668,elbow_right,-,108.2362861214892
1761082300.732,elbow_left,-,109.09226115738257
1761082300.732,elbow_right,-,111.84461942711766
1761082300.797,elbow_left,-,110.27434267980695
1761082300.797,elbow_right,-,117.08456658346134
1761082300.876,elbow_left,-,116.24525602051739
1761082300.876,elbow_right,-,124.32031181221406
1761082300.941,elbow_left,-,118.97786013281062
1761082300.941,elbow_right,-,132.67176581578272
1761082301.004,elbow_left,-,123.45574815559903
1761082301.004,elbow_right,-,140.5926989908724
1761082301.069,elbow_left,-,129.57360239401467
1761082301.069,elbow_right,-,143.88458029418132
1761082301.131,elbow_left,-,139.16778626974306
1761082301.131,elbow_right,-,148.6569148340238
1761082301.196,elbow_left,-,146.1993189851395
1761082301.196,elbow_right,-,151.3394603937224
1761082301.277,elbow_right,-,156.87190115388123
1761082301.339,elbow_left,-,156.7766816687121
1761082301.339,elbow_right,-,160.7904968825091
1761082301.404,elbow_left,-,157.114788086796
1761082301.404,elbow_right,-,163.72845175801888
1761082301.468,elbow_left,-,157.39881609853276
1761082301.468,elbow_right,-,163.19197914753417
1761082301.533,elbow_left,-,155.8956081410451
1761082301.533,elbow_right,-,162.59573955781025
1761082301.596,elbow_left,-,155.41935506953172
1761082301.596,elbow_right,-,161.77117464672637
1761082301.675,elbow_left,-,150.83716271370807
1761082301.675,elbow_right,-,154.63323430156262
1761082301.740,shoulder_L_abd,L,152.38426000372425
1761082301.805,elbow_right,-,134.1763365845724
1761082301.868,elbow_right,-,114.91219839517186
1761082301.931,shoulder_R_abd,R,113.57059071738283
