t,cadence,step_time_L,step_time_R,rel_step_len_L,rel_step_len_R,SI
1761082296.252,0.000,,,,,
1761082296.333,0.000,,,,,
1761082296.396,0.000,,,,,
1761082296.462,0.000,,,,,
1761082296.524,0.000,,,,,
1761082296.589,0.000,,,,,
1761082296.653,0.000,,,,,
1761082296.733,0.000,,,,,
1761082296.797,0.000,,,,,
1761082296.860,0.000,,,,,
1761082296.925,0.000,,,,,
1761082296.987,0.000,,,,,
1761082297.052,0.000,,,,,
1761082297.133,0.000,,,,,
1761082297.196,0.000,,,,,
1761082297.260,0.000,,,,,
1761082297.325,0.000,,,,,
1761082297.388,0.000,,,,,
1761082297.467,0.000,,,,,
1761082297.532,0.000,,,,,
1761082297.597,0.000,,,,,
1761082297.660,0.000,,,,,
1761082297.724,0.000,,,,,
1761082297.789,0.000,,,,,
1761082297.868,0.000,,,,,
1761082297.933,0.000,,,,,
1761082297.996,0.000,,,,,
1761082298.061,0.000,,,,,
1761082298.124,0.000,,,,,
1761082298.188,0.000,,,,,
1761082298.269,0.000,,,,,
1761082298.332,0.000,,,,,
1761082298.395,0.000,,,,,
1761082298.460,0.000,,,,,
1761082298.524,0.000,,,,,
1761082298.604,0.000,,,,,
1761082298.668,0.000,,,,,
1761082298.733,0.000,,,,,
1761082298.797,0.000,,,,,
1761082298.860,0.000,,,,,
1761082298.924,0.000,,,,,
1761082299.004,0.000,,,,,
1761082299.068,0.000,,,,,
1761082299.132,0.000,,,,,
1761082299.197,0.000,,,,,
1761082299.260,0.000,,,,,
1761082299.323,0.000,,,,,
1761082299.405,0.000,,,,,
1761082299.468,0.000,,,,,
1761082299.532,0.000,,,,,
1761082299.597,0.000,,,,,
1761082299.660,0.000,,,,,
1761082299.739,0.000,,,,,
1761082299.804,0.000,,,,,
1761082299.869,0.000,,,,,
1761082299.931,0.000,,,,,
1761082299.996,0.000,,,,,
1761082300.061,0.000,,,,,
1761082300.140,0.000,,,,,
1761082300.204,0.000,,,,,
1761082300.268,0.000,,,,,
1761082300.333,0.000,,,,,
1761082300.396,0.000,,,,,
1761082300.460,0.000,,,,,
1761082300.541,0.000,,,,,
1761082300.604,0.000,,,,,
1761082300.668,0.000,,,,,
1761082300.732,0.000,,,,,
1761082300.797,0.000,,,,,
1761082300.876,0.000,,,,,
1761082300.941,0.000,,,,,
1761082301.004,0.000,,,,,
1761082301.069,0.000,,,,,
1761082301.131,0.000,,,,,
1761082301.196,0.000,,,,,
1761082301.277,0.000,,,,,
1761082301.339,0.000,,,,,
1761082301.404,0.000,,,,,
1761082301.468,0.000,,,,,
1761082301.533,0.000,,,,,
1761082301.596,0.000,,,,,
1761082301.675,0.000,,,,,
1761082301.740,0.000,,,,,
1761082301.805,0.000,,,,,
1761082301.868,0.000,,,,,
1761082301.931,0.000,,,,,
1761082302.013,0.000,,,,,
1761082302.076,0.000,,,,,
1761082302.140,0.000,,,,,
1761082302.204,0.000,,,,,
1761082302.269,0.000,,,,,
1761082302.332,0.000,,,,,
1761082302.412,0.000,,,,,
1761082302.476,0.000,,,,,
1761082302.540,0.000,,,,,
1761082302.604,0.000,,,,,
1761082302.668,0.000,,,,,
1761082302.733,0.000,,,,,
1761082302.813,0.000,,,,,
1761082302.876,0.000,,,,,
1761082302.940,0.000,,,,,
1761082303.005,0.000,,,,,
1761082303.068,0.000,,,,,
1761082303.132,0.000,,,,,
1761082303.213,0.000,,,,,
1761082303.276,0.000,,,,,
1761082303.340,0.000,,,,,
1761082303.404,0.000,,,,,
1761082303.468,0.000,,,,,
1761082303.548,0.000,,,,,
1761082303.612,0.000,,,,,
1761082303.678,0.000,,,,,
1761082303.740,0.000,,,,,
1761082303.804,0.000,,,,,
1761082303.869,0.000,,,,,
1761082303.948,0.000,,,,,
1761082304.011,0.000,,,,,
1761082304.076,0.000,,,,,
1761082304.141,0.000,,,,,
1761082304.204,0.000,,,,,
1761082304.268,0.000,,,,,
